name,nameI,continent,countryI,launch,launchI,type,typeI,restraint,restraintI,designer,designerI,construction,constructionI
Manta,57,NorthAm,3,Chain lift hill,4,0,0,Flying restraint,1,B&M,4,Steel,5
Kawasemi,58,Asia,1,Cable lift hill,3,Megalite,64,0,0,Intamin,22,Steel,5
Piraten,59,Europe,2,Chain lift hill,4,Megalite,64,Lap bar,2,Intamin,22,Steel,5
GateKeeper,60,NorthAm,3,Chain lift hill,4,0,0,Flying restraint,1,B&M,4,Steel,5
Black Mamba,61,Europe,2,Chain lift hill,4,0,0,Shoulder harness,5,B&M,4,Steel,5
Do-Dodonpa,62,Asia,1,Compressed air launch,9,Air Powered,2,Lap bar,2,S&S,42,Steel,5
The Monster,63,Europe,2,Chain lift hill,4,0,0,Shoulder harness,5,B&M,4,Steel,5
Alpina Blitz,64,Europe,2,Chain lift hill,4,Megacoaster,63,Lap bar,2,Mack,29,Steel,5
Alpengeist,65,NorthAm,3,Chain lift hill,4,0,0,Shoulder harness,5,B&M,4,Steel,5
Troy,66,Europe,2,Chain lift hill,4,Twister,91,Lap bar,2,GCI,17,Wooden,9
Ravine Flyer II,67,NorthAm,3,Chain lift hill,4,Twister,91,Lap bar,2,Gravity Group,20,Hybrid,3
Icon,68,Europe,2,Magnetic Launch (LIM/LSM),14,Looper,57,Lap bar,2,Mack,29,Steel,5
Battlestar Galactica - CYLON,69,Asia,1,Electrical lift hill,11,0,0,Shoulder harness,5,Vekoma,50,Steel,5
Stealth,70,Europe,2,Hydraulic cable launch,13,Rocket,73,Shoulder harness,5,Intamin,22,Steel,5
Superman Krypton Coaster,71,NorthAm,3,Chain lift hill,4,0,0,Shoulder harness,5,B&M,4,Steel,5
Behemoth,72,NorthAm,3,Chain lift hill,4,Hyper,37,Lap bar,2,B&M,4,Steel,5
Wodan : Timbur Coaster,73,Europe,2,Chain lift hill,4,Twister,91,Lap bar,2,GCI,17,Wooden,9
Red Force,74,Europe,2,Magnetic Launch (LIM/LSM),14,"Rocket, Strata",74,Lap bar,2,Intamin,22,Steel,5
Apollo's Chariot,75,NorthAm,3,Chain lift hill,4,Hyper,37,Lap bar,2,B&M,4,Steel,5
Full Throttle,76,NorthAm,3,Magnetic Launch (LIM/LSM),14,Launched Looping,52,Lap bar,2,Premier Rides,37,Steel,5
Storm Runner,77,NorthAm,3,Hydraulic cable launch,13,Rocket,73,Shoulder harness,5,Intamin,22,Steel,5
Mystic Timbers,78,NorthAm,3,Chain lift hill,4,Twister,91,Lap bar,2,GCI,17,Wooden,9
Junker,79,Europe,2,Magnetic Launch (LIM/LSM),14,0,0,Lap bar,2,Gerstlauer,18,Infinity,4
Revenge of the Mummy,80,NorthAm,3,Magnetic Launch (LIM/LSM),14,Launched Indoor,51,Lap bar,2,Premier Rides,37,Steel,5
Talon,81,NorthAm,3,Chain lift hill,4,0,0,Shoulder harness,5,B&M,4,Steel,5
Mr Freeze Reverse Blast,82,NorthAm,3,Magnetic Launch (LIM/LSM),14,Shuttle,76,Lap bar,2,Premier Rides,37,Steel,5
Colossos,83,Europe,2,Chain lift hill,4,Out & Back,71,Lap bar,2,Intamin,22,Wooden,9
Cheetah Hunt,84,NorthAm,3,Magnetic Launch (LIM/LSM),14,Rocket,73,Shoulder harness,5,Intamin,22,Steel,5
Harry Potter and the Escape from Gringotts,85,NorthAm,3,Magnetic Launch (LIM/LSM),14,Dark Ride,10,Lap bar,2,Intamin,22,Steel,5
Mr. Freeze Reverse Blast,86,NorthAm,3,Magnetic Launch (LIM/LSM),14,0,0,Lap bar,2,Premier Rides,37,Steel,5
Diamondback,87,NorthAm,3,Chain lift hill,4,Hyper,37,Lap bar,2,B&M,4,Steel,5
Galactica,88,Europe,2,Chain lift hill,4,0,0,Flying restraint,1,B&M,4,Steel,5
Fluch Von Novgorod,89,Europe,2,"Chain lift hill, Magnetic Launch (LIM/LSM)",7,Euro-Fighter,21,Shoulder harness,5,Gerstlauer,18,Steel,5
Goliath,90,NorthAm,3,Chain lift hill,4,Hyper,37,Lap bar,2,B&M,4,Steel,5
Blue Fire,91,Europe,2,Magnetic Launch (LIM/LSM),14,Looper,57,Lap bar,2,Mack,29,Steel,5
Beast,92,NorthAm,3,Chain lift hill,4,0,0,Lap bar,2,Charlie Dinn,10,Wooden,9
Patriot,93,NorthAm,3,Chain lift hill,4,0,0,Shoulder harness,5,B&M,4,Steel,5
Incredible Hulk,94,NorthAm,3,Tire propelled launch,16,Looper,57,Shoulder harness,5,B&M,4,Steel,5
Kumba,95,NorthAm,3,Chain lift hill,4,Looper,57,Shoulder harness,5,B&M,4,Steel,5
Baron 1898,96,Europe,2,Chain lift hill,4,Dive,11,Shoulder harness,5,B&M,4,Steel,5
Medusa,97,NorthAm,3,Chain lift hill,4,0,0,Shoulder harness,5,B&M,4,Steel,5
Incredicoaster,98,NorthAm,3,Magnetic Launch (LIM/LSM),14,Looper,57,Shoulder harness,5,Intamin,22,Steel,5
Mine Blower,99,NorthAm,3,Chain lift hill,4,0,0,Lap bar,2,Gravity Group,20,Wooden,9
Lost Gravity,100,Europe,2,Chain lift hill,4,BigDipper,4,Lap bar,2,Mack,29,Steel,5
Stunt Fall,101,Europe,2,Cable lift hill,3,Multielement Inverted Shuttle,70,Shoulder harness,5,Vekoma,50,Steel,5
Oblivion - The Black Hole,102,Europe,2,Chain lift hill,4,Dive,11,Shoulder harness,5,B&M,4,Steel,5
PowderKeg,103,NorthAm,3,"Chain lift hill, Compressed air launch",6,Air Powered,2,Lap bar,2,S&S,42,Steel,5
Raptor,104,Europe,2,Chain lift hill,4,0,0,Shoulder harness,5,B&M,4,Steel,5
Wildfire,105,NorthAm,3,Chain lift hill,4,Looper,57,Shoulder harness,5,B&M,4,Steel,5
Verbolten,106,NorthAm,3,Magnetic Launch (LIM/LSM),14,Launched,49,Lap bar,2,Zierer,56,Steel,5
Hair Raiser,107,Asia,1,Chain lift hill,4,Looper,57,Shoulder harness,5,B&M,4,Steel,5
Expedition Everest,108,NorthAm,3,Chain lift hill,4,Freeform Mine Train,32,Lap bar,2,Vekoma,50,Steel,5
Star Trek: Operation Enterprise,109,Europe,2,Magnetic Launch (LIM/LSM),14,Looper,57,Lap bar,2,Mack,29,Steel,5
Revenge of the Mummy,110,Asia,1,Magnetic Launch (LIM/LSM),14,Indoor Launched,42,Shoulder harness,5,Premier Rides,37,Steel,5
Monster,111,NorthAm,3,Chain lift hill,4,Infinity,44,Lap bar,2,Gerstlauer,18,Steel,5
El Toro,112,Europe,2,Chain lift hill,4,Twister,91,Lap bar,2,GCI,17,Wooden,9
