name,nameI,continent,countryI,launch,launchI,type,typeI,restraint,restraintI,designer,designerI,construction,constructionI
FireChaser Express,241,NorthAm,3,"Chain lift hill, Tire propelled launch",8,"Launched, Family",55,Lap bar,2,Gerstlauer,18,Steel,5
Big Thunder Mountain Railroad,242,NorthAm,3,Chain lift hill,4,Mine Train,65,Lap bar,2,Walt Disney Imagineering,51,Steel,5
Hollenblitz,243,Asia,1,Chain lift hill,4,0,0,Lap bar,2,EOS rides,15,Steel,5
Superman : Escape from Krypton,244,NorthAm,3,Magnetic Launch (LIM/LSM),14,Shuttle,76,Lap bar,2,Intamin,22,Steel,5
Ultimate,245,Europe,2,Chain lift hill,4,Mine Train,65,Lap bar,2,Big Country Mitioneering,5,Steel,5
Manta,246,NorthAm,3,Magnetic Launch (LIM/LSM),14,Launched,49,Lap bar,2,Mack,29,Steel,5
Batman : The dark Knight,247,NorthAm,3,Chain lift hill,4,0,0,Shoulder harness,5,B&M,4,Steel,5
Joker,248,NorthAm,3,Chain lift hill,4,Free Spin,30,Shoulder harness,5,S&S,42,Steel,5
The Boss,249,NorthAm,3,Chain lift hill,4,Twister,91,Lap bar,2,CCI,7,Wooden,9
Batman The Ride,250,NorthAm,3,Chain lift hill,4,0,0,Shoulder harness,5,B&M,4,Steel,5
Montezooma's Revenge,251,NorthAm,3,Hydraulic cable launch,13,Shuttle Loop,77,Lap bar,2,Schwarzkopf,45,Steel,5
Space Mountain - Omega,252,NorthAm,3,Chain lift hill,4,0,0,Lap bar,2,Arrow,2,Steel,5
Die Vliegende Hollander,253,Europe,2,Chain lift hill,4,0,0,Lap bar,2,Kumbak,26,Steel,5
Space Mountain - Alpha,254,NorthAm,3,Chain lift hill,4,0,0,Lap bar,2,Arrow,2,Steel,5
Titan,255,NorthAm,3,Chain lift hill,4,Hyper,37,Lap bar,2,Giovanola,19,Steel,5
Mystery Mine,256,NorthAm,3,Chain lift hill,4,Euro-Fighter,21,Shoulder harness,5,Gerstlauer,18,Steel,5
Dragon Roller Coaster,257,Europe,2,Booster wheel lift hill,1,Family,22,Lap bar,2,Vekoma,50,Steel,5
Twister,258,NorthAm,3,Chain lift hill,4,Twister,91,Lap bar,2,Philadelphia Toboggan Coaster,35,Wooden,9
Batman the Ride,259,NorthAm,3,Chain lift hill,4,0,0,Shoulder harness,5,B&M,4,Steel,5
Scream!,260,NorthAm,3,Chain lift hill,4,Looper,57,Shoulder harness,5,B&M,4,Steel,5
Rock'n Roller Coaster starringAerosmith,261,NorthAm,3,Magnetic Launch (LIM/LSM),14,Looper,57,Shoulder harness,5,Vekoma,50,Steel,5
Le Twist,262,Europe,2,Chain lift hill,4,0,0,Lap bar,2,Mack,29,Steel,5
Flight of Fear,263,NorthAm,3,Magnetic Launch (LIM/LSM),14,Indoor Launched Multielement,43,Lap bar,2,Premier Rides,37,Steel,5
Great White,264,NorthAm,3,Chain lift hill,4,0,0,Shoulder harness,5,B&M,4,Steel,5
Tornado,265,Europe,2,Chain lift hill,4,0,0,Lap bar,2,Intamin,22,Steel,5
Iron Shark,266,NorthAm,3,Chain lift hill,4,Euro-Fighter,21,Lap bar,2,Gerstlauer,18,Steel,5
Rougarou,267,NorthAm,3,Chain lift hill,4,0,0,Shoulder harness,5,B&M,4,Steel,5
Georgia Scorcher,268,NorthAm,3,Chain lift hill,4,0,0,Shoulder harness,5,B&M,4,Steel,5
Takabisha,269,Asia,1,Magnetic Launch (LIM/LSM),14,Euro-Fighter,21,Shoulder harness,5,Gerstlauer,18,Steel,5
Bat,270,NorthAm,3,Chain lift hill,4,0,0,Shoulder harness,5,Arrow,2,Steel,5
The Legend,271,NorthAm,3,Chain lift hill,4,Twister,91,Lap bar,2,CCI,7,Wooden,9
Freischütz,272,Europe,2,Magnetic Launch (LIM/LSM),14,Rocket,73,Lap bar,2,Maurer,31,Steel,5
Shockwave,273,NorthAm,3,Chain lift hill,4,Looper,57,Lap bar,2,Schwarzkopf,45,Steel,5
Force One,274,Europe,2,Chain lift hill,4,0,0,Lap bar,2,Zierer,56,Steel,5
Possessed,275,NorthAm,3,Magnetic Launch (LIM/LSM),14,Shuttle,76,Shoulder harness,5,Intamin,22,Steel,5
Mammut,276,Europe,2,Chain lift hill,4,Twister,91,Lap bar,2,Cordes GmbH,11,Wooden,9
Viper,277,NorthAm,3,Chain lift hill,4,Twister,91,Lap bar,2,Philadelphia Toboggan Coaster,35,Wooden,9
Seven Dwarfs Mine Train,278,NorthAm,3,Chain lift hill,4,Mine Train,65,Lap bar,2,Vekoma,50,Steel,5
Salama,279,Europe,2,Chain lift hill,4,0,0,Lap bar,2,Maurer,31,Steel,5
Speed,280,Europe,2,Chain lift hill,4,Euro-Fighter,21,Shoulder harness,5,Gerstlauer,18,Steel,5
Alpina Bahn,281,Asia,1,Tire propelled launch,16,Looper,57,Lap bar,2,Schwarzkopf,45,Steel,5
Superman - Ultimate Flight,282,NorthAm,3,Chain lift hill,4,0,0,Flying restraint,1,B&M,4,Steel,5
Polar X-plorer,283,Europe,2,Chain lift hill,4,Free Fall,29,Lap bar,2,Zierer,56,Steel,5
Ultra Twister Megaton,284,Asia,1,Cable lift hill,3,0,0,Shoulder harness,5,Togo,48,Steel,5
Half Pipe,285,Europe,2,Magnetic Launch (LIM/LSM),14,Shuttle,76,Lap bar,2,Intamin,22,Steel,5
Prowler,286,NorthAm,3,Chain lift hill,4,Twister,91,Lap bar,2,GCI,17,Wooden,9
Saw - The Ride,287,Europe,2,Chain lift hill,4,Euro-Fighter,21,Shoulder harness,5,Gerstlauer,18,Steel,5
G'sengte Sau,288,Europe,2,Chain lift hill,4,Bobsled,5,Lap bar,2,Gerstlauer,18,Steel,5
Insane,289,Europe,2,Electrical lift hill,11,"4th Dimension, ZacSpin",1,Shoulder harness,5,Intamin,22,Steel,5
Millennium Roller Coaster,290,Europe,2,Chain lift hill,4,Looper,57,Shoulder harness,5,Vekoma,50,Steel,5
Journey to Atlantis,291,NorthAm,3,Chain lift hill,4,Water Coaster,94,Lap bar,2,Mack,29,Steel,5
Timber Drop,292,Europe,2,Chain lift hill,4,El Loco,18,Shoulder harness,5,S&S,42,Steel,5
Goliath,293,NorthAm,3,Chain lift hill,4,0,0,Shoulder harness,5,B&M,4,Steel,5
Nighthawk• Carowinds,294,NorthAm,3,Chain lift hill,4,0,0,Flying restraint,1,Vekoma,50,Steel,5
Formule X,295,Europe,2,Magnetic Launch (LIM/LSM),14,X Car,97,Lap bar,2,Maurer,31,Steel,5
Switchback,296,NorthAm,3,Chain lift hill,4,Shuttle,76,Lap bar,2,Gravity Group,20,Wooden,9
Crush's Coaster,297,Europe,2,Chain lift hill,4,Indoor,40,Lap bar,2,Maurer,31,Steel,5
Tiki Waka,298,Europe,2,Chain lift hill,4,"Bobsled, Family",6,Lap bar,2,Gerstlauer,18,Steel,5
Cyclops,299,NorthAm,3,Chain lift hill,4,0,0,Lap bar,2,CCI,7,Steel,5
Formule 1,300,Europe,2,Chain lift hill,4,Wild Mouse,95,Lap bar,2,Pax,34,Steel,5
Gemini (Blue),301,NorthAm,3,Chain lift hill,4,0,0,Lap bar,2,Arrow,2,Hybrid,3
Cancan Coaster,302,Europe,2,Spiral lift,15,Family,22,Lap bar,2,Mack,29,Steel,5
Vicky The Ride,303,Europe,2,Chain lift hill,4,0,0,Lap bar,2,Gerstlauer,18,Steel,5
Batman the Ride,304,NorthAm,3,Chain lift hill,4,0,0,Shoulder harness,5,B&M,4,Steel,5
Rock'n Roller Coaster avec Aerosmith,305,Europe,2,Magnetic Launch (LIM/LSM),14,"Looper, Indoor",58,Shoulder harness,5,Vekoma,50,Steel,5
Raptor Attack,306,Europe,2,Chain lift hill,4,0,0,Lap bar,2,Schwarzkopf,45,Steel,5
Kentucky Rumbler,307,NorthAm,3,Chain lift hill,4,Twister,91,Lap bar,2,GCI,17,Wooden,9
Goliath,308,NorthAm,3,Cable lift hill,3,Multielement Inverted Shuttle,70,Shoulder harness,5,Vekoma,50,Steel,5
Vilda Musen,309,Europe,2,Chain lift hill,4,Bobsled,5,Lap bar,2,Gerstlauer,18,Steel,5
Dragon Fly,310,Europe,2,Chain lift hill,4,0,0,Lap bar,2,Gerstlauer,18,Steel,5
Hyperspace Mountain,311,Asia,1,0,0,0,0,Lap bar,2,Vekoma,50,Steel,5
Nessie Superrollercoaster,312,Europe,2,Chain lift hill,4,Looper,57,Lap bar,2,Schwarzkopf,45,Steel,5
Cobra,313,Europe,2,Chain lift hill,4,Bobsled,5,Lap bar,2,Gerstlauer,18,Steel,5
American Eagle,314,NorthAm,3,Chain lift hill,4,Twister,91,Lap bar,2,Intamin,22,Wooden,9
Cornball Express,315,NorthAm,3,Cable lift hill,3,0,0,Lap bar,2,CCI,7,Wooden,9
Sierra Sidewinder,316,NorthAm,3,Chain lift hill,4,Spinning Freeform,85,Lap bar,2,Mack,29,Steel,5
Vuoristorata,317,Europe,2,Chain lift hill,4,Twister,91,Lap bar,2,Unknown,49,Wooden,9
Arthur,318,Europe,2,Electrical launch,10,"E-Powered, Dark Ride",15,Lap bar,2,Mack,29,Steel,5
Battlestar Galactica - HUMAN,319,Asia,1,Electrical lift hill,11,Looper,57,Shoulder harness,5,Vekoma,50,Steel,5
Drachenritt,320,Europe,2,Chain lift hill,4,Bobsled,5,Lap bar,2,Gerstlauer,18,Steel,5
Thundercoaster,321,Europe,2,Chain lift hill,4,Twister,91,Lap bar,2,Vekoma,50,Wooden,9
Joker,322,NorthAm,3,Chain lift hill,4,Free Spin,30,Shoulder harness,5,S&S,42,Steel,5
Ultra Twister,323,Asia,1,Chain lift hill,4,0,0,Shoulder harness,5,Togo,48,Steel,5
Raik,324,Europe,2,Booster wheel lift hill,1,"Boomerang, Family",8,Lap bar,2,Vekoma,50,Steel,5
Megablitz,325,Europe,2,Chain lift hill,4,Triple Out and Back,90,Lap bar,2,Vekoma,50,Steel,5
Pandemonium,326,NorthAm,3,Chain lift hill,4,0,0,Lap bar,2,Gerstlauer,18,Steel,5
Furius Baco,327,Europe,2,Hydraulic cable launch,13,0,0,Shoulder harness,5,Intamin,22,Steel,5
Rage,328,Europe,2,Chain lift hill,4,Euro-Fighter,21,Shoulder harness,5,Gerstlauer,18,Steel,5
Apocalypse,329,NorthAm,3,Chain lift hill,4,Twister,91,Lap bar,2,GCI,17,Wooden,9
Loch Ness Monster,330,NorthAm,3,Chain lift hill,4,Looper,57,Shoulder harness,5,Arrow,2,Steel,5
MotoGee,331,Europe,2,Tire propelled launch,16,0,0,Lap bar,2,Zamperla,55,Steel,5
Outlaw,332,NorthAm,3,Chain lift hill,4,Twister,91,Lap bar,2,CCI,7,Wooden,9
Gold rush,333,Europe,2,Booster wheel lift hill,1,Shuttle,76,Lap bar,2,Gerstlauer,18,Steel,5
Falken,334,Europe,2,Chain lift hill,4,0,0,Lap bar,2,S&S,42,Steel,5
Backlot Stunt Coaster,335,NorthAm,3,Magnetic Launch (LIM/LSM),14,Launched Freeform,50,Lap bar,2,Premier Rides,37,Steel,5
Velociraptor,336,Europe,2,0,0,0,0,None,3,Vekoma,50,Family,2
Matterhorn Bobsleds (A),337,NorthAm,3,Chain lift hill,4,Bobsled,5,None,3,Arrow,2,Steel,5
Comet,338,NorthAm,3,Chain lift hill,4,0,0,Lap bar,2,Philadelphia Toboggan Coaster,35,Steel,5
Impulse,339,NorthAm,3,Chain lift hill,4,0,0,Lap bar,2,Zierer,56,Steel,5
Hyper Space Mountain,340,Europe,2,Hydraulic cable launch,13,"Looper, Indoor",58,Shoulder harness,5,Vekoma,50,Steel,5
Thunder Run,341,NorthAm,3,Chain lift hill,4,Twister,91,Lap bar,2,Dinn Corp.,12,Wooden,9
Triops,342,Europe,2,Chain lift hill,4,Invertigo,45,Shoulder harness,5,Vekoma,50,Steel,5
Shuttle Loop,343,Asia,1,Flywheel,12,Shuttle Loop,77,Lap bar,2,Schwarzkopf,45,Steel,5
TNT Tren de la Mina,344,Europe,2,Chain lift hill,4,Mine Train,65,Lap bar,2,Gerstlauer,18,Steel,5
Back Lot Stunt Coaster,345,NorthAm,3,Magnetic Launch (LIM/LSM),14,Family,22,Lap bar,2,Premier Rides,37,Steel,5
Back Lot Stunt Coaster,346,NorthAm,3,Magnetic Launch (LIM/LSM),14,0,0,Lap bar,2,Premier Rides,37,Steel,5
InvadR,347,NorthAm,3,0,0,Twister,91,Lap bar,2,GCI,17,Hybrid,3
The Raven,348,NorthAm,3,Chain lift hill,4,Twister,91,Lap bar,2,CCI,7,Wooden,9
Raging Spirits,349,Asia,1,Chain lift hill,4,Looper,57,Shoulder harness,5,Intamin,22,Steel,5
Pandemonium,350,NorthAm,3,Chain lift hill,4,Spinning Twister,86,Lap bar,2,Gerstlauer,18,Steel,5
Dare Devil Dive,351,NorthAm,3,Chain lift hill,4,Euro-Fighter,21,Lap bar,2,Gerstlauer,18,Steel,5
"Correcaminos Bip, Bip",352,Europe,2,Booster wheel lift hill,1,YoungStar,98,Lap bar,2,Mack,29,Steel,5
Tonnerre de Zeus,353,Europe,2,Chain lift hill,4,Twister,91,Lap bar,2,CCI,7,Wooden,9
Flight of Fear,354,NorthAm,3,Magnetic Launch (LIM/LSM),14,Launched Multielement,53,Lap bar,2,Premier Rides,37,Steel,5
Mamba,355,NorthAm,3,Chain lift hill,4,Hyper,37,Lap bar,2,Morgan,33,Steel,5
Vampire,356,Europe,2,Chain lift hill,4,0,0,Shoulder harness,5,Arrow,2,Steel,5
Undertow,357,NorthAm,3,Chain lift hill,4,0,0,Lap bar,2,Maurer,31,Steel,5
Blue Streak,358,NorthAm,3,Chain lift hill,4,Out & Back,71,Lap bar,2,Philadelphia Toboggan Coaster,35,Wooden,9
Spinball Whizzer,359,Europe,2,Chain lift hill,4,0,0,Lap bar,2,Maurer,31,Steel,5
Speed Rockets,360,Europe,2,Chain lift hill,4,0,0,Lap bar,2,Gerstlauer,18,Family,2
Skatteøen,361,Europe,2,Chain lift hill,4,0,0,Lap bar,2,Mack,29,Steel,5
Heiße Fahrt,362,Europe,2,Chain lift hill,4,Bobsled,5,0,0,Gerstlauer,18,Steel,5
Kvasten,363,Europe,2,Booster wheel lift hill,1,Family,22,Lap bar,2,Vekoma,50,Steel,5
Sooperdooperlooper,364,NorthAm,3,Chain lift hill,4,Looper,57,Lap bar,2,Schwarzkopf,45,Steel,5
Speed,365,Europe,2,Vertical lift,17,0,0,None,3,Intamin,22,Steel,5
Pandemonium,366,NorthAm,3,Chain lift hill,4,0,0,Lap bar,2,Gerstlauer,18,Steel,5
Jack Rabbit,367,NorthAm,3,Chain lift hill,4,0,0,Lap bar,2,ACE Coaster Classic,1,Steel,5
Scorpion,368,NorthAm,3,Chain lift hill,4,Looper,57,Lap bar,2,Schwarzkopf,45,Steel,5
Pegasus,369,Europe,2,Booster wheel lift hill,1,Twister,91,Lap bar,2,Mack,29,Steel,5
Xpress : Platform 13,370,Europe,2,Magnetic Launch (LIM/LSM),14,0,0,Shoulder harness,5,Vekoma,50,Steel,5
Diabolik,371,Europe,2,Chain lift hill,4,Invertigo,45,Shoulder harness,5,Vekoma,50,Steel,5
Loup Garou,372,Europe,2,Chain lift hill,4,Twister,91,Lap bar,2,Vekoma,50,Wooden,9
Comet,373,NorthAm,3,Chain lift hill,4,0,0,Lap bar,2,Philadelphia Toboggan Coaster,35,Steel,5
Revolution,374,Europe,2,0,0,Shuttle,76,Shoulder harness,5,Arrow,2,Steel,5
Gao,375,Asia,1,Chain lift hill,4,0,0,Lap bar,2,Meisho Amusement Machines,32,0,0
Matterhorn Bobsleds (B),376,NorthAm,3,Chain lift hill,4,Bobsled,5,0,0,Arrow,2,Steel,5
Regina,377,Asia,1,Chain lift hill,4,0,0,Lap bar,2,Intamin,22,Steel,5
Poltergeist,378,NorthAm,3,Magnetic Launch (LIM/LSM),14,Launched Multielement,53,Shoulder harness,5,Premier Rides,37,Steel,5
Steel Hawg,379,NorthAm,3,Chain lift hill,4,0,0,0,0,S&S,42,Steel,5
Fuga da Atlantide,380,Europe,2,Cable lift hill,3,0,0,None,3,Intamin,22,Steel,5
Poseïdon,381,Europe,2,Chain lift hill,4,Family,22,Lap bar,2,Mack,29,Steel,5
Divertical,382,Europe,2,Vertical lift,17,0,0,Lap bar,2,Intamin,22,Steel,5
Rutschebanen,383,Europe,2,Cable lift hill,3,0,0,Lap bar,2,ACE Coaster Classic,1,Steel,5
Thor's Hammer,384,Europe,2,0,0,Bobsled,5,0,0,Gerstlauer,18,Steel,5
Booster Bike,385,Europe,2,Magnetic Launch (LIM/LSM),14,Motorbike,68,Lap bar,2,Vekoma,50,Steel,5
Racer,386,NorthAm,3,Chain lift hill,4,0,0,Lap bar,2,Philadelphia Toboggan Coaster,35,Wooden,9
Freedom Flyer,387,NorthAm,3,Booster wheel lift hill,1,Family,22,Lap bar,2,Vekoma,50,Steel,5
Avalanche,388,Europe,2,Chain lift hill,4,0,0,Lap bar,2,Mack,29,Steel,5
Gemini (Red),389,NorthAm,3,Chain lift hill,4,0,0,Lap bar,2,Arrow,2,Hybrid,3
Whizzer,390,NorthAm,3,Electrical lift hill,11,Speed Racer / Extended Jumbo Jet,82,None,3,Schwarzkopf,45,Steel,5
Hankatten,391,Europe,2,Chain lift hill,4,0,0,Lap bar,2,Gerstlauer,18,Steel,5
Cobra,392,Europe,2,Cable lift hill,3,Shuttle,76,Shoulder harness,5,Vekoma,50,Steel,5
Spinning Dragons,393,NorthAm,3,Chain lift hill,4,Spinning,83,Lap bar,2,Gerstlauer,18,Steel,5
Thunderbolt,394,NorthAm,3,Chain lift hill,4,Twister,91,Lap bar,2,"Drambour, Joseph",13,Wooden,9
Fiorano GT Challenge (Left),395,Asia,1,Magnetic Launch (LIM/LSM),14,0,0,Lap bar,2,Maurer,31,Steel,5
Huracan,396,Europe,2,Booster wheel lift hill,1,0,0,Lap bar,2,Zierer,56,Steel,5
Sky Rocket,397,NorthAm,3,Magnetic Launch (LIM/LSM),14,Launched,49,Lap bar,2,Premier Rides,37,Steel,5
Wild Train,398,Europe,2,Booster wheel lift hill,1,0,0,Lap bar,2,Pax,34,Steel,5
Zeus,399,NorthAm,3,Chain lift hill,4,Twister,91,Lap bar,2,CCI,7,Wooden,9
Vortex,400,NorthAm,3,Chain lift hill,4,0,0,Shoulder harness,5,Arrow,2,Steel,5
Racer 75 (Left Side),401,NorthAm,3,Chain lift hill,4,0,0,Lap bar,2,Philadelphia Toboggan Coaster,35,Wooden,9
Cobra's Curse,402,NorthAm,3,Vertical lift,17,0,0,Lap bar,2,Mack,29,Steel,5
New Revolution,403,NorthAm,3,0,0,Looper,57,Lap bar,2,Schwarzkopf,45,Steel,5
Racer,404,NorthAm,3,Chain lift hill,4,0,0,Lap bar,2,John Miller,24,Steel,5
Big Dipper,405,Europe,2,Chain lift hill,4,0,0,Lap bar,2,William Strickler,54,Wooden,9
Screamin' Eagle,406,NorthAm,3,Chain lift hill,4,Twister,91,Lap bar,2,Philadelphia Toboggan Coaster,35,Wooden,9
La Trace du Hourra,407,Europe,2,Chain lift hill,4,0,0,Lap bar,2,Mack,29,Steel,5
Bobbaan,408,Europe,2,Chain lift hill,4,0,0,Lap bar,2,Giovanola,19,Steel,5
Matterhorn Blitz,409,Europe,2,Vertical lift,17,Wild Mouse,95,Lap bar,2,Mack,29,Steel,5
Milky Way (Blue),410,Asia,1,Chain lift hill,4,0,0,Shoulder harness,5,Togo,48,Steel,5
Typhoon,411,Europe,2,Chain lift hill,4,Euro-Fighter,21,Shoulder harness,5,Gerstlauer,18,Steel,5
Ninja,412,NorthAm,3,Chain lift hill,4,0,0,Shoulder harness,5,Arrow,2,Steel,5
Wave Breaker: The Rescue Coaster,413,NorthAm,3,Tire propelled launch,16,0,0,None,3,Intamin,22,0,0
Green Lantern,414,NorthAm,3,Chain lift hill,4,0,0,Shoulder harness,5,B&M,4,Steel,5
Le Serpent,415,Europe,2,Booster wheel lift hill,1,Family,22,Lap bar,2,Zierer,56,Steel,5
Hoosier Hurricane,416,NorthAm,3,Chain lift hill,4,0,0,Lap bar,2,CCI,7,Wooden,9
Insider,417,Europe,2,0,0,"Wild Mouse, Indoor",96,Lap bar,2,Maurer,31,Steel,5
Calamity Mine,418,Europe,2,Chain lift hill,4,Mine Train,65,Lap bar,2,Vekoma,50,Steel,5
Grand National (Right),419,Europe,2,Chain lift hill,4,Twister,91,0,0,Unknown,49,Wooden,9
Vogel Rok,420,Europe,2,Chain lift hill,4,Enclosed Freeform,19,Lap bar,2,Vekoma,50,Steel,5
Boomerang,421,Europe,2,Booster wheel lift hill,1,"Shuttle, Boomerang, Family",79,Lap bar,2,Vekoma,50,Steel,5
Schweizer Bobbahn,422,Europe,2,Chain lift hill,4,0,0,Lap bar,2,Mack,29,Steel,5
Fiorano GT Challenge (Right),423,Asia,1,Magnetic Launch (LIM/LSM),14,0,0,Lap bar,2,Maurer,31,Steel,5
Boomerang,424,Europe,2,Chain lift hill,4,"Shuttle, Boomerang, Family",79,Lap bar,2,Vekoma,50,Steel,5
Ben 10 Ultimate Mission,425,Europe,2,Booster wheel lift hill,1,Shuttle,76,Lap bar,2,Vekoma,50,Steel,5
Tornado,426,Europe,2,Chain lift hill,4,0,0,Shoulder harness,5,Intamin,22,Steel,5
Underground,427,NorthAm,3,Chain lift hill,4,0,0,Lap bar,2,CCI,7,Steel,5
Mount Mara,428,Europe,2,Booster wheel lift hill,1,Indoor,40,Lap bar,2,Vekoma,50,Steel,5
Patriot,429,NorthAm,3,Chain lift hill,4,0,0,Shoulder harness,5,B&M,4,Steel,5
Steel Dragon,430,NorthAm,3,Chain lift hill,4,0,0,Lap bar,2,Maurer,31,Steel,5
Grand National (Left),431,Europe,2,Chain lift hill,4,0,0,Lap bar,2,Charles Paige,9,Steel,5
Big One,432,Europe,2,Chain lift hill,4,Hyper,37,Lap bar,2,Arrow,2,Steel,5
Vild-Svinet,433,Europe,2,Cable lift hill,3,Euro-Fighter,21,Lap bar,2,Gerstlauer,18,Steel,5
Supersplash,434,Europe,2,0,0,0,0,Lap bar,2,Mack,29,SuperSplash,6
Looping Star,435,Asia,1,Cable lift hill,3,Looping,62,Lap bar,2,Schwarzkopf,45,Steel,5
Colossus,436,NorthAm,3,Chain lift hill,4,Out & Back,71,Lap bar,2,International Amusement Devices,23,Wooden,9
Nickelodeon Streak,437,Europe,2,Chain lift hill,4,Out & Back,71,None,3,Charles Paige,9,Wooden,9
Thunderation,438,NorthAm,3,Chain lift hill,4,Mine Train,65,Lap bar,2,Arrow,2,Steel,5
Pandemonium,439,NorthAm,3,Chain lift hill,4,"Spinning Cars, Twister",84,Lap bar,2,Gerstlauer,18,Steel,5
Alpenexpress,440,Europe,2,0,0,E-Powered,14,Lap bar,2,Mack,29,Steel,5
Tiger Express,441,Europe,2,Chain lift hill,4,Wild Mouse,95,Lap bar,2,Mack,29,Steel,5
Kumali,442,Europe,2,Chain lift hill,4,0,0,Shoulder harness,5,Vekoma,50,Steel,5
Feuerdrache,443,Europe,2,Booster wheel lift hill,1,0,0,Lap bar,2,Zierer,56,Steel,5
Exterminator,444,NorthAm,3,Chain lift hill,4,Spinning Wild Mouse,87,Lap bar,2,Reverchon,40,Steel,5
Super Railway,445,Asia,1,Chain lift hill,4,0,0,None,3,Schwarzkopf,45,Steel,5
Thunderbolt,446,NorthAm,3,Chain lift hill,4,0,0,Lap bar,2,ACE Coaster Classic,1,Steel,5
Fire In The Hole,447,NorthAm,3,0,0,0,0,Lap bar,2,Unknown,49,Steel,5
Tranan,448,Europe,2,Chain lift hill,4,Eagle,17,None,3,S&S,42,Steel,5
Atlantica SuperSplash,449,Europe,2,Chain lift hill,4,Water Coaster,94,Lap bar,2,Mack,29,Steel,5
Euro Mir,450,Europe,2,Spiral lift,15,Spinning,83,Lap bar,2,Mack,29,Steel,5
Eurosat,451,Europe,2,Spiral lift,15,Family,22,Lap bar,2,Mack,29,Steel,5
Pegasus,452,NorthAm,3,0,0,0,0,0,0,CCI,7,Steel,5
Falcon,453,Europe,2,0,0,Euro-Fighter,21,Shoulder harness,5,Gerstlauer,18,Steel,5
Dark Knight,454,NorthAm,3,Chain lift hill,4,Wild Mouse,95,Lap bar,2,Mack,29,Steel,5
Boomerang,455,Europe,2,Chain lift hill,4,"Boomerang, Multielement Shuttle",9,Lap bar,2,Vekoma,50,Steel,5
Achterbahn,456,Europe,2,Chain lift hill,4,Family,22,Lap bar,2,Schwarzkopf,45,Steel,5
Laff Trakk,457,NorthAm,3,Chain lift hill,4,0,0,Lap bar,2,Maurer,31,Steel,5
West Coaster,458,NorthAm,3,Chain lift hill,4,0,0,Lap bar,2,Morgan,33,Steel,5
Mammut,459,Europe,2,Chain lift hill,4,Mine Train,65,Lap bar,2,Vekoma,50,Steel,5
Stampida (Blue),460,Europe,2,Chain lift hill,4,Twister,91,Lap bar,2,CCI,7,Wooden,9
Shockwave,461,Europe,2,Chain lift hill,4,0,0,Shoulder harness,5,Intamin,22,Steel,5
Wild One,462,NorthAm,3,Chain lift hill,4,0,0,Lap bar,2,John Miller,24,Steel,5
Stampida (Red),463,Europe,2,Chain lift hill,4,Twister,91,Lap bar,2,CCI,7,Wooden,9
Thunderhawk,464,NorthAm,3,Chain lift hill,4,Twister,91,Lap bar,2,Philadelphia Toboggan Coaster,35,Wooden,9
Woodstock Express,465,NorthAm,3,Chain lift hill,4,0,0,Lap bar,2,Philadelphia Toboggan Coaster,35,Steel,5
Wonder Mountain's Guardian,466,NorthAm,3,Chain lift hill,4,Free Fall,29,Lap bar,2,ART Engineering GmbH,3,Steel,5
Invertigo,467,NorthAm,3,Chain lift hill,4,"Shuttle, Boomerang",78,Shoulder harness,5,Vekoma,50,Steel,5
Blazing Fury,468,NorthAm,3,0,0,0,0,Lap bar,2,Unknown,49,Steel,5
Halvar,469,Europe,2,Chain lift hill,4,Terrain,89,Lap bar,2,Vekoma,50,Steel,5
Cyclone,470,NorthAm,3,Chain lift hill,4,Twister,91,Lap bar,2,Unknown,49,Wooden,9
Colossus,471,Europe,2,Chain lift hill,4,Multielement,69,Shoulder harness,5,Intamin,22,Steel,5
Naga Bay,472,Europe,2,Chain lift hill,4,0,0,Lap bar,2,Maurer,31,Steel,5
Alpine Coaster,473,Europe,2,Cable lift hill,3,0,0,Seatbelt,4,Wiegand,52,Steel,5
SuperSplash,474,Europe,2,Vertical lift,17,0,0,Lap bar,2,Mack,29,Steel,5
Adventure Express,475,NorthAm,3,Chain lift hill,4,Mine Train,65,Lap bar,2,Arrow,2,Steel,5
EqWalizer,476,Europe,2,Cable lift hill,3,"Shuttle, Boomerang",78,Lap bar,2,Vekoma,50,Steel,5
Dark Knight,477,NorthAm,3,Chain lift hill,4,Wild Mouse,95,Lap bar,2,Mack,29,Steel,5
Avalanche,478,NorthAm,3,0,0,Bobsled,5,Lap bar,2,Mack,29,Steel,5
Mumbo Jumbo,479,Europe,2,Chain lift hill,4,El Loco,18,Shoulder harness,5,S&S,42,Steel,5
Judge Roy Scream,480,NorthAm,3,Chain lift hill,4,0,0,Lap bar,2,William J. Cobb,53,Steel,5
Wildcat,481,NorthAm,3,Chain lift hill,4,Twister,91,Lap bar,2,GCI,17,Wooden,9
Aktium,482,Europe,2,0,0,0,0,None,3,Mack,29,0,0
La Vibora,483,NorthAm,3,Chain lift hill,4,0,0,Lap bar,2,Intamin,22,Steel,5
Woodstock Express,484,NorthAm,3,Chain lift hill,4,Twister,91,Lap bar,2,Philadelphia Toboggan Coaster,35,Wooden,9
Spatiale Experience,485,Europe,2,Spiral lift,15,Indoor,40,Lap bar,2,Mack,29,Steel,5
Devil's Mine,486,Europe,2,Chain lift hill,4,0,0,Lap bar,2,Vekoma,50,Steel,5
