name,location,country,status,designer,construction,restraint,opening_year,launch,type,height,inversions,speed,length,score
Zeus,Mt. Olympus Water & Theme Park,United States,Operating,CCI,Wooden,Lap bar,1997,Chain lift hill,Twister,88.5816,0,60.272987,2900.2272,45.6
Vortex,Canada's Wonderland,Canada,Operating,Arrow,Steel,Shoulder harness,1991,Chain lift hill,NA,91.8624,0,55.302019,2559.024,45.4
Racer 75 (Left Side),Kings Dominion,United States,Operating,Philadelphia Toboggan Coaster,Wooden,Lap bar,1975,Chain lift hill,NA,85.3008,0,55.92339,3369.3816,44.8
Cobra's Curse,Busch Gardens Tampa,United States,Operating,Mack,Steel,Lap bar,2016,Vertical lift,NA,68.8968,0,40.389115,2099.712,44.7
New Revolution,Six Flags Magic Mountain,United States,Operating,Schwarzkopf,Steel,Lap bar,1976,NA,Looper,111.5472,1,55.302019,3457.9632,44.5
Racer,Kennywood,United States,Operating,John Miller,Steel,Lap bar,1927,Chain lift hill,NA,72.1776,0,NA,2250.6288,44.3
Big Dipper,Blackpool Pleasure Beach,United Kingdom,Operating,William Strickler,Wooden,Lap bar,1923,Chain lift hill,NA,59.0544,0,NA,3300.4848,44.2
Screamin' Eagle,Six Flags St Louis,United States,Operating,Philadelphia Toboggan Coaster,Wooden,Lap bar,1976,Chain lift hill,Twister,111.5472,0,62.1371,3871.344,43.6
La Trace du Hourra,Parc Asterix,France,Operating,Mack,Steel,Lap bar,2001,Chain lift hill,NA,101.7048,0,37.28226,2952.72,43.6
Bobbaan,Efteling,Netherlands,Operating,Giovanola,Steel,Lap bar,1985,Chain lift hill,NA,65.616,0,37.28226,1719.1392,43.6
Matterhorn Blitz,Europa Park,Germany,Operating,Mack,Steel,Lap bar,1999,Vertical lift,Wild Mouse,52.4928,0,34.796776,1256.5464,43.1
Milky Way (Blue),Greenland,Japan,Operating,Togo,Steel,Shoulder harness,1991,Chain lift hill,NA,124.6704,0,NA,2624.64,43
Typhoon,Bobbejaanland,Belgium,Operating,Gerstlauer,Steel,Shoulder harness,2004,Chain lift hill,Euro-Fighter,85.3008,4,49.70968,2198.136,42.9
Ninja,Six Flags Magic Mountain,United States,Operating,Arrow,Steel,Shoulder harness,1988,Chain lift hill,NA,59.0544,0,54.680648,2706.66,42.8
Wave Breaker: The Rescue Coaster,SeaWorld San Antonio,United States,Operating,Intamin,NA,None,2017,Tire propelled launch,NA,62.3352,0,44.117341,2598.3936,42.7
Green Lantern,Six Flags Great Adventure,United States,Operating,B&M,Steel,Shoulder harness,2011,Chain lift hill,NA,154.1976,5,63.379842,4156.7736,42.5
Le Serpent,Parc du Petit Prince,France,Operating,Zierer,Steel,Lap bar,NA,Booster wheel lift hill,Family,NA,0,NA,NA,42.3
Hoosier Hurricane,Indiana Beach,United States,Operating,CCI,Wooden,Lap bar,1994,Chain lift hill,NA,78.7392,0,50.952422,2890.3848,41.6
Insider,Wiener Prater,Austria,Operating,Maurer,Steel,Lap bar,2013,NA,"Wild Mouse, Indoor",36.0888,0,21.747985,984.24,41.5
Calamity Mine,Walibi Belgium,Belgium,Operating,Vekoma,Steel,Lap bar,1992,Chain lift hill,Mine Train,45.9312,0,29.825808,2575.428,41.5
Grand National (Right),Blackpool Pleasure Beach,United Kingdom,Operating,Unknown,Wooden,Unknown,NA,Chain lift hill,Twister,NA,0,NA,NA,41.5
Vogel Rok,Efteling,Netherlands,Operating,Vekoma,Steel,Lap bar,1998,Chain lift hill,Enclosed Freeform,82.02,0,40.389115,3936.96,41.5
Boomerang,Parc des Combes,France,Operating,Vekoma,Steel,Lap bar,2011,Booster wheel lift hill,"Shuttle, Boomerang, Family",65.616,0,37.28226,606.948,41.4
Schweizer Bobbahn,Heide Park,Germany,Operating,Mack,Steel,Lap bar,1994,Chain lift hill,NA,88.5816,0,32.932663,3247.992,41.4
Fiorano GT Challenge (Right),Ferrari World,United Arab Emirates,Operating,Maurer,Steel,Lap bar,2010,Magnetic Launch (LIM/LSM),NA,NA,0,NA,3280.8,41.3
Boomerang,Energylandia,Poland,Operating,Vekoma,Steel,Lap bar,2017,Chain lift hill,"Shuttle, Boomerang, Family",75.4584,0,37.28226,682.4064,41.3
Ben 10 Ultimate Mission,Drayton Manor,United Kingdom,Operating,Vekoma,Steel,Lap bar,2011,Booster wheel lift hill,Shuttle,65.616,0,34.175405,590.544,41.1
Tornado,Parque de Atracciones de Madrid,Spain,Operating,Intamin,Steel,Shoulder harness,1999,Chain lift hill,NA,98.424,3,49.70968,2624.64,41
Underground,Adventureland,United States,Operating,CCI,Steel,Lap bar,1996,Chain lift hill,NA,NA,0,NA,984.24,40.9
Mount Mara,Bobbejaanland,Belgium,Operating,Vekoma,Steel,Lap bar,1989,Booster wheel lift hill,Indoor,85.3008,0,31.06855,2362.176,40.9
Patriot,California's Great America,United States,Operating,B&M,Steel,Shoulder harness,1991,Chain lift hill,NA,91.8624,2,39.767744,1919.268,40.9
Steel Dragon,Waldameer,United States,Operating,Maurer,Steel,Lap bar,2004,Chain lift hill,NA,52.4928,0,37.28226,1391.0592,40.7
Grand National (Left),Blackpool Pleasure Beach,United Kingdom,Operating,Charles Paige,Steel,Lap bar,1935,Chain lift hill,NA,62.3352,0,39.767744,3300.4848,40.6
Big One,Blackpool Pleasure Beach,United Kingdom,Operating,Arrow,Steel,Lap bar,1994,Chain lift hill,Hyper,213.252,0,74.56452,5495.34,40.3
Vild-Svinet,Bonbon-Land,Denmark,Operating,Gerstlauer,Steel,Lap bar,2003,Cable lift hill,Euro-Fighter,72.1776,1,44.738712,1404.1824,40.1
Supersplash,TusenFryd,Norway,Operating,Mack,SuperSplash,Lap bar,2003,NA,NA,95.1432,0,47.224196,1099.068,40.1
Looping Star,Nagashima Spa Land,Japan,Operating,Schwarzkopf,Steel,Lap bar,1982,Cable lift hill,Looping,82.02,1,47.845567,1942.2336,40.1
Colossus,Six Flags Magic Mountain,United States,Retracked,International Amusement Devices,Wooden,Lap bar,1978,Chain lift hill,Out & Back,124.6704,0,62.1371,4324.0944,40
Nickelodeon Streak,Blackpool Pleasure Beach,United Kingdom,Operating,Charles Paige,Wooden,None,1933,Chain lift hill,Out & Back,62.3352,0,37.28226,2296.56,39.9
Thunderation,Silver Dollar City,United States,Operating,Arrow,Steel,Lap bar,1993,Chain lift hill,Mine Train,82.02,0,47.845567,3021.6168,39.8
Pandemonium,Six Flags New England,United States,Operating,Gerstlauer,Steel,Lap bar,2005,Chain lift hill,"Spinning Cars, Twister",55.7736,0,31.06855,1345.128,39.7
Alpenexpress,Europa Park,Germany,Operating,Mack,Steel,Lap bar,1984,NA,E-Powered,19.6848,0,27.961695,866.1312,39.6
