name,location,country,status,designer,construction,restraint,opening_year,launch,type,height,inversions,speed,length,score
El Diablo,Port Aventura,Spain,Operating,Arrow,Steel,Lap bar,1995,Chain lift hill,Mine Train,55.7736,0,NA,3307.0464,27.5
Joyride,PowerPark,Finland,Operating,L&T Systems,Steel,Lap bar,2003,Chain lift hill,NA,52.4928,0,NA,918.624,27.5
Boomerang,Toverland,Netherlands,Operating,Vekoma,Steel,Lap bar,2001,Booster wheel lift hill,Enclosed Junior,30,0,NA,NA,27.5
Roller Coaster Mayan,Energylandia,Poland,Operating,Vekoma,Steel,Shoulder harness,NA,Chain lift hill,SLC,108.2664,5,49.70968,2260.4712,27.3
Dynamite Express,Drievliet Family Park,Netherlands,Operating,Mack,Steel,Lap bar,2005,Electrical lift hill,E-Powered,36.0888,0,NA,859.5696,27.3
Tabalugas Achterbahn,Holiday Park,Germany,Operating,Zierer,Steel,Common lap bar,NA,Booster wheel lift hill,"Family, Indoor",29.5272,0,24.85484,728.3376,27.3
Grottenblitz,Heide Park,Germany,Operating,Mack,Steel,Lap bar,1985,NA,E-Powered,19.6848,0,27.961695,1213.896,27.2
Family Adventure,Mirabilandia,Italy,Definitely closed,Vekoma,Steel,Lap bar,2001,Booster wheel lift hill,Junior,42.6504,0,28.583066,1099.068,26.9
Cagliostro,Rainbow MagicLand,Italy,Operating,Maurer,Steel,Lap bar,2011,Chain lift hill,NA,55.7736,0,36.039518,1410.744,26.9
Olandese Volante,Rainbow MagicLand,Italy,Operating,Vekoma,Steel,Lap bar,2011,Chain lift hill,Mine Train,45.9312,0,29.825808,2234.2248,26.8
Silver Streak,Canada's Wonderland,Canada,Operating,Vekoma,Steel,Shoulder harness,NA,Booster wheel lift hill,Family,49.212,0,26.097582,1122.0336,26.7
X-Treme Racer,Legoland Billund,Denmark,Operating,Mack,Steel,Lap bar,2002,Chain lift hill,Wild Mouse,52.4928,0,34.796776,1312.32,26.6
Rioolrat,Avonturenpark Hellendoorn,Netherlands,Operating,Vekoma,Steel,Lap bar,1996,NA,NA,NA,0,27.961695,1000.644,26.2
Mean Streak,Cedar Point,United States,Retracked,Dinn Corp.,Wooden,Lap bar,1991,Chain lift hill,Twister,160.7592,0,62.1371,5426.4432,26.2
RC Racer,Hong Kong Disneyland,China,Operating,Intamin,Steel,Shoulder harness,2011,Magnetic Launch (LIM/LSM),Half Pipe,82.02,0,NA,262.464,25.9
Flight of the Hippogriff,Universal Studios Hollywood,United States,Operating,Mack,Steel,Lap bar,2016,NA,YoungStar,NA,0,NA,984.24,25.7
Runaway Mountain,Six flags Over Texas,United States,Operating,Premier Rides,Steel,Lap bar,1996,Chain lift hill,NA,52.4928,0,39.767744,1496.0448,25.7
Gold Rusher,Six Flags Magic Mountain,United States,Operating,Arrow,Steel,Lap bar,1971,Chain lift hill,Mine Train,68.8968,0,34.796776,2591.832,25.6
Disaster Transport,Cedar Point,United States,Definitely closed,Intamin,Steel,Lap bar,1985,Chain lift hill,NA,62.3352,0,39.767744,1932.3912,25.3
Timber Wolf,Worlds of Fun,United States,Operating,Dinn Corp.,Wooden,Lap bar,1989,Chain lift hill,Twister,101.7048,0,52.816535,4232.232,24.9
Bob Express,Bobbejaanland,Belgium,Operating,Mack,Steel,Lap bar,2e3,Electrical lift hill,E-Powered,32.808,0,22.369356,1709.2968,24.8
Mighty Canadian Minebuster,Canada's Wonderland,Canada,Operating,Philadelphia Toboggan Coaster,Wooden,Lap bar,1981,Chain lift hill,Twister,88.5816,0,55.92339,3828.6936,24.8
Flying Dutchman Gold Mine,Walibi Holland,Netherlands,Definitely closed,Mack,Steel,Lap bar,2e3,Chain lift hill,Wild Mouse,45.9312,0,27.961695,1213.896,24.7
Trailblazer,Hersheypark,United States,Operating,Arrow,Steel,Lap bar,1974,Chain lift hill,Mine Train,NA,0,NA,NA,24.6
Steampunk Hunters,TusenFryd,Norway,Operating,Vekoma,Steel,Lap bar,2012,Booster wheel lift hill,NA,42.6504,0,28.583066,1099.068,24.6
Grampus Jet,Greenland,Japan,Operating,Vekoma,Steel,Shoulder harness,1994,Chain lift hill,NA,NA,0,NA,NA,24.6
Famous jack,Bagatelle,France,Operating,Reverchon,Steel,Lap bar,NA,Chain lift hill,Wild Mouse,42.6504,0,29.204437,1377.936,24.6
Shaman,Gardaland,Italy,Operating,Vekoma,Steel,Shoulder harness,1985,Chain lift hill,Looper,98.424,4,43.49597,2296.56,24.4
Euro Loop,Europark,France,Operating,Vekoma,Steel,Shoulder harness,2004,Chain lift hill,Looper,98.424,4,40.389115,NA,24.3
Course de Bobsleigh,Nigloland,France,Relocated,Schwarzkopf,Steel,Lap bar,1995,Electrical lift hill,NA,49.212,0,40.389115,1476.36,24.1
Plohseidon,Freizeitpark Plohn,Germany,Operating,Zierer,Steel,Lap bar,NA,Booster wheel lift hill,Family,NA,0,NA,1640.4,24
Indiana Jones et le Temple du Péril,Disneyland Park,France,Operating,Intamin,Steel,Shoulder harness,1993,Chain lift hill,Looper,59.0544,1,36.039518,1856.9328,23.9
Tornado,Legendia,Poland,Operating,Soquet,Steel,Common shoulder harness,2007,Chain lift hill,Looper,NA,2,NA,NA,23.8
Big Apple Coaster,"New York, New York Hotel & Casino",United States,Operating,Togo,Steel,Shoulder harness,1997,Chain lift hill,Looper,203.4096,2,67.108068,4776.8448,23.7
L'Aérotrain,Parc Saint Paul,France,Operating,Vekoma,Steel,Lap bar,2014,Booster wheel lift hill,NA,36.0888,0,NA,721.776,23.7
Vertigo,Parque de Atracciones de Madrid,Spain,Operating,Mack,Steel,Common lap bar,2009,Chain lift hill,Wild Mouse,45.9312,0,27.961695,1213.896,23.6
Schlitt' Express,Nigloland,France,Operating,Mack,Steel,Lap bar,2007,Chain lift hill,Wild Mouse,45.9312,0,27.961695,1213.896,23.2
Green Lantern : First Flight,Six Flags Magic Mountain,United States,Temporarily closed,Intamin,Steel,Shoulder harness,2011,Chain lift hill,ZacSpin,108.2664,0,37.28226,826.7616,23.2
Racing,Bakken,Denmark,Operating,Zierer,Steel,Unknown,1980,NA,NA,NA,0,NA,NA,23
Blue Flyer,Blackpool Pleasure Beach,United Kingdom,Operating,Charles Paige,Steel,Lap bar,1934,Chain lift hill,NA,NA,0,NA,2296.56,22.8
Hurler,Kings Dominion,United States,Retracked,Philadelphia Toboggan Coaster,Wooden,Lap bar,1994,Chain lift hill,Twister,82.02,0,49.70968,3156.1296,22.6
Flying Cobras,Carowinds,United States,Operating,Vekoma,Steel,Shoulder harness,2009,Chain lift hill,"Shuttle, Boomerang",118.1088,3,47.224196,935.028,22.4
Dragon,Adventureland,United States,Operating,Hopkins,Steel,Shoulder harness,1991,Chain lift hill,Looping,88.5816,2,NA,2250.6288,22.4
Python,Efteling,Netherlands,Operating,Vekoma,Steel,Shoulder harness,1981,Chain lift hill,Loop Corkscrew,95.1432,4,46.602825,2460.6,22.2
Dragon,Legoland Florida,United States,Operating,Vekoma,Steel,Lap bar,2004,Booster wheel lift hill,NA,42.6504,0,28.583066,1099.068,22.2
Euro Speed,Europark,France,Operating,Mack,Steel,Lap bar,2009,NA,E-Powered,NA,0,NA,NA,22.1
Ghoster Coaster,Canada's Wonderland,Canada,Operating,Philadelphia Toboggan Coaster,Wooden,Lap bar,1981,Chain lift hill,Twister,42.6504,0,34.796776,1354.9704,22.1
Monstre,La Ronde,Canada,Operating,William J. Cobb,Wooden,Lap bar,1985,Chain lift hill,Twister,127.9512,0,59.651616,3996.0144,22
Crazy Mine,Hansa Park,Germany,Operating,Maurer,Steel,Lap bar,1997,Chain lift hill,Wild Mouse,49.212,0,27.961695,1213.896,21.8
La Machine à Vapeur,Jardin d'Acclimatation,France,Operating,Soquet,Steel,Lap bar,1999,Electrical lift hill,E-Powered,NA,0,24.85484,NA,21.7
Flagermusen,Farup Sommerland,Denmark,Operating,Reverchon,Steel,Lap bar,2001,Chain lift hill,NA,42.6504,0,29.204437,1377.936,21.7
Dragen,Legoland Billund,Denmark,Operating,Mack,Steel,Lap bar,1997,Electrical lift hill,E-Powered,NA,0,NA,NA,21.6
Project X - Test Strecke,Legoland Deutschland,Germany,Operating,Mack,Steel,Lap bar,2002,Chain lift hill,Wild Mouse,52.4928,0,34.796776,1312.32,21.6
Tickler,Luna Park,United States,Operating,Zamperla,Steel,Shoulder harness,2010,Chain lift hill,Spinning Wild Mouse,NA,0,NA,1378,21.5
Sky Spin,Skyline Park,Germany,Operating,Maurer,Steel,Unknown,2013,NA,NA,NA,0,NA,NA,21.2
Hurler,Carowinds,United States,Operating,CCI,Steel,Lap bar,1994,Chain lift hill,NA,82.02,0,50.331051,3156.1296,20.9
Shockwave,Kings Dominion,United States,Definitely closed,Togo,Steel,Shoulder harness,1986,Chain lift hill,"Stand-Up, Looping",95.1432,1,50.331051,2230.944,20.9
Draak,Plopsaland,Belgium,Operating,Mack,Steel,Lap bar,2004,Electrical lift hill,E-Powered,45.9312,0,22.369356,1476.36,20.6
Vilde Mus,Bakken,Denmark,Operating,Mack,Wild Mouse,None,NA,NA,NA,NA,0,NA,NA,20.5
Les Souris Mécaniques,Jardin d'Acclimatation,France,Operating,Reverchon,Steel,Lap bar,NA,Chain lift hill,Wild Mouse,19.6848,0,NA,NA,20.5
Rattlesnake,Chessington World of Adventures,United Kingdom,Operating,Maurer,Steel,Lap bar,1998,Chain lift hill,Wild Mouse,49.212,0,27.961695,1213.896,20.2
Ricochet,Carowinds,United States,Operating,Mack,Steel,Lap bar,2002,Chain lift hill,Wild Mouse,45.9312,0,27.961695,1213.896,20.2
Skull Mountain,Six Flags Great Adventure,United States,Operating,Intamin,Wooden,Lap bar,1996,Booster wheel lift hill,Twister,39.3696,0,32.932663,NA,20
Neo's Twister,PowerPark,Finland,Operating,Fabbri,Wild Mouse,Common lap bar,2011,Chain lift hill,NA,32.808,0,NA,1377.936,19.9
Ghost Chasers,Movie Park Germany,Germany,Operating,Mack,Steel,Lap bar,2e3,Chain lift hill,Wild Mouse,45.9312,0,27.961695,1213.896,19.9
Furio,Dennlys Parc,France,Operating,Soquet,Steel,Lap bar,2003,Chain lift hill,NA,NA,0,NA,NA,19.8
Fly,Canada's Wonderland,Canada,Operating,Mack,Steel,Lap bar,1999,Chain lift hill,Wild Mouse,52.4928,0,34.796776,1312.32,19.8
Viper,Six Flags Magic Mountain,United States,Operating,Arrow,Steel,Shoulder harness,1990,Chain lift hill,Looper,187.0056,7,69.593552,3828.6936,19.7
Wildcat,Lake Compounce,United States,Operating,Charlie Dinn,Steel,Lap bar,1927,Chain lift hill,NA,85.3008,0,47.845567,2746.0296,19.6
Lost Coaster of Superstition Mountain,Indiana Beach,United States,Operating,CCI,Wooden,Unknown,2002,Chain lift hill,NA,36.0888,0,19.883872,1400.9016,19.6
Déval' Train,Parc des Combes,France,Operating,Vekoma,Steel,Lap bar,2003,Booster wheel lift hill,Junior Coaster,29.5272,0,21.747985,679.1256,19.5
Scorpion Express,Chessington World of Adventures,United Kingdom,Operating,Mack,Steel,Lap bar,1987,NA,E-Powered,19.6848,0,22.369356,803.796,19.4
Temple of the Night Hawk,Phantasialand,Germany,Operating,Vekoma,Steel,Lap bar,1988,Chain lift hill,Indoor Freeform,26.2464,0,31.06855,4199.424,19.2
Virtual Express,Tibidabo,Spain,Operating,Zamperla,Steel,Lap bar,NA,Electrical lift hill,E-Powered,NA,0,NA,NA,18.8
Enchanted Airways,Universal Studios Singapore,Singapore,Operating,Vekoma,Steel,Lap bar,2010,Chain lift hill,Junior,NA,0,NA,1148.28,18.7
Wild Beast,Canada's Wonderland,Canada,Operating,Philadelphia Toboggan Coaster,Wooden,Lap bar,1981,Chain lift hill,Twister,82.02,0,55.92339,3149.568,18.7
Mine Expressen,Farup Sommerland,Denmark,Operating,Vekoma,Steel,Lap bar,1992,Booster wheel lift hill,NA,42.6504,0,28.583066,1099.068,18.5
Woodstock Express,Cedar Point,United States,Operating,Vekoma,Steel,Lap bar,1999,Booster wheel lift hill,Junior Twister,42.6504,0,28.583066,1099.068,18.5
Gwazi - Tiger,Busch Gardens Tampa,United States,Definitely closed,GCI,Wooden,Lap bar,1999,Chain lift hill,Twister,88.5816,0,50.331051,3398.9088,18.4
Cobra,Tivoli Friheden,Denmark,Operating,Sartori,Steel,Shoulder harness,2008,Chain lift hill,NA,68.8968,3,40.389115,1312.32,18.4
Apple Zapple,Kings Dominion,United States,Operating,Mack,Steel,Lap bar,2002,Chain lift hill,Wild Mouse,52.4928,0,34.796776,1312.32,18.3
Thunder Run,Canada's Wonderland,Canada,Operating,Mack,Steel,Lap bar,1981,Electrical launch,E-Powered,32.808,0,39.767744,1082.664,18.2
Flying Ace Aerial Chase,Kings Island,United States,Operating,Vekoma,Steel,Shoulder harness,2001,Chain lift hill,NA,49.212,0,26.097582,1122.0336,18
Vortex,Carowinds,United States,Operating,B&M,Steel,Shoulder harness,1992,Chain lift hill,NA,88.5816,2,50.331051,2040.6576,17.9
Express,Fraispertuis City,France,Relocated,Soquet,Steel,Lap bar,1987,Chain lift hill,NA,NA,0,NA,NA,17.8
Le Vol d'Icare,Parc Asterix,France,Operating,Zierer,Steel,Lap bar,NA,Booster wheel lift hill,Family,36.0888,0,26.097582,1345.128,17.6
Woodstock Express,Walibi Rhône Alpes,France,Operating,Zamperla,Steel,Lap bar,2002,Chain lift hill,Wild Mouse,NA,0,NA,721.776,17.4
Wild Mouse,Dorney Park,United States,Operating,Maurer,Steel,Lap bar,2e3,Chain lift hill,Wild Mouse,49.212,0,27.961695,1213.896,17.4
Dragon,La Ronde,Canada,Operating,Intamin,Steel,Lap bar,1994,Booster wheel lift hill,NA,NA,0,NA,NA,17.4
Comet,Walygator Parc,France,Operating,Vekoma,Steel,Shoulder harness,NA,Chain lift hill,Looper,78.7392,3,39.767744,NA,17.4
Wild Mouse,Hersheypark,United States,Operating,Mack,Steel,Lap bar,1999,Chain lift hill,Wild Mouse,45.9312,0,27.961695,1213.896,17.3
Rollerskater,Plopsaland,Belgium,Operating,Vekoma,Steel,Lap bar,1990,Booster wheel lift hill,NA,42.6504,0,27.961695,1099.068,17.3
Canopy Flyer,Universal Studios Singapore,Singapore,Operating,SetPoint,Steel,Lap bar,NA,Chain lift hill,Family,NA,0,NA,NA,17.1
Ednör,La Ronde,Canada,Operating,Vekoma,Steel,Shoulder harness,NA,Chain lift hill,SLC,111.5472,5,49.70968,2260.4712,17
Donderstenen,Avonturenpark Hellendoorn,Netherlands,Operating,Zierer,Steel,Lap bar,2005,Booster wheel lift hill,NA,29.5272,0,24.233469,728.3376,17
Sand Serpent,Busch Gardens Tampa,United States,Operating,Mack,Steel,Lap bar,2004,Chain lift hill,Wild Mouse,45.9312,0,27.961695,1213.896,17
Maskerade,Wiener Prater,Austria,Operating,Gerstlauer,Steel,Lap bar,NA,Vertical lift,Indoor,32.808,0,24.85484,774.2688,17
Tulireki,Linnanmäki,Finland,Operating,Mack,Steel,Lap bar,2004,NA,NA,55.7736,0,36.039518,1102.3488,17
Green Scream,Adventure Island,United Kingdom,Operating,Zierer,Steel,Lap bar,1999,Booster wheel lift hill,Twister,42,0,NA,NA,16.5
Brontojet,Movieland Park,Italy,Operating,Schwarzkopf,Steel,Lap bar,2010,Electrical lift hill,NA,36.0888,0,NA,1361.532,16.3
Pikajuna,Linnanmäki,Finland,Operating,Mack,Steel,Lap bar,1990,Electrical lift hill,E-Powered,22.9656,0,22.990727,961.2744,16.3
Corkscrew,Alton Towers,United Kingdom,Definitely closed,Vekoma,Steel,Shoulder harness,1980,Chain lift hill,Corkscrew,75.4584,2,39.767744,2401.5456,15.9
The Walking Dead - The Ride,Thorpe Park,United Kingdom,Operating,Vekoma,Steel,Lap bar,1996,Booster wheel lift hill,"Family, Indoor",42.6504,0,27.961695,1312.32,15.9
Sky Rider,Skyline Park,Germany,Operating,Caripro,Steel,Lap bar,2001,Vertical lift,NA,NA,0,NA,NA,15.9
Carolina Goldrusher,Carowinds,United States,Operating,Arrow,Hybrid,Lap bar,1973,Chain lift hill,Mine Train,NA,0,NA,2398.2648,15.7
Kung Fu Panda Master,Gardaland,Italy,Operating,Fabbri,Steel,Lap bar,2016,Chain lift hill,NA,45.9312,0,7.456452,NA,15.6
Wild Mouse,Beech Bend,United States,Operating,Zamperla,Steel,Lap bar,2005,Chain lift hill,Wild Mouse,42.6504,0,29.204437,1377.936,15.6
Dragon Fire,Canada's Wonderland,Canada,Operating,Arrow,Steel,Shoulder harness,1981,Chain lift hill,Looper,78.7392,4,50.331051,2158.7664,15.5
G Force,Drayton Manor,United Kingdom,Temporarily closed,Maurer,Steel,Lap bar,2005,Chain lift hill,Looper,82.02,3,43.49597,1263.108,15.5
Canyon Blaster,Great Escape,United States,Operating,Arrow,Steel,Lap bar,2003,Chain lift hill,Mine Train,55.7736,0,44.738712,2001.288,15.3
Speedy Bob (Left),Bobbejaanland,Belgium,Definitely closed,Mack,Steel,Common lap bar,NA,Chain lift hill,Wild Mouse,45.9312,0,27.961695,1213.896,14.9
Big Loop,Heide Park,Germany,Operating,Vekoma,Steel,Shoulder harness,1983,Chain lift hill,Double Loop Corkscrew,98.424,4,39.146373,2316.2448,14.9
La Souris verte,Parc Saint Paul,France,Operating,Zamperla,Steel,Lap bar,2007,Chain lift hill,Wild Mouse,42.6504,0,33.554034,NA,14.6
Demon,Six Flags Great America,United States,Operating,Arrow,Steel,Shoulder harness,1976,Chain lift hill,Looper,101.7048,4,50.331051,2129.2392,14.6
Cedar Creek Mine Ride,Cedar Point,United States,Operating,Arrow,Hybrid,Lap bar,1969,Chain lift hill,Mine Train,49.212,0,31.06855,2539.3392,14.6
Tig'rr Coaster,Indiana Beach,United States,Operating,Schwarzkopf,NA,Lap bar,1984,Chain lift hill,NA,45.9312,0,31.06855,1765.0704,14.4
Anaconda,Kings Dominion,United States,Operating,Arrow,Steel,Shoulder harness,1991,Chain lift hill,Looper,144.3552,4,50.331051,2700.0984,14.2
Tokio express,Foire,N/A,Operating,Soquet,Steel,Lap bar,1992,Electrical launch,"E-Powered, Family",NA,0,NA,NA,14.2
Tornado,Adventureland,United States,Operating,William J. Cobb,Steel,Lap bar,1978,Chain lift hill,NA,91.8624,0,57.787503,2841.1728,14.1
Gadget's Go Coaster,Disneyland,United States,Operating,Vekoma,Steel,Lap bar,1993,Booster wheel lift hill,NA,29.5272,0,21.747985,679.1256,14.1
Dragon,Jardin d'Acclimatation,France,Operating,Soquet,Steel,Lap bar,1987,Chain lift hill,NA,16.404,0,NA,656.16,13.9
Gotham City Gauntlet: Escape from Arkham Asylum,Six Flags New England,United States,Operating,Maurer,Steel,Lap bar,2011,Chain lift hill,Wild Mouse,49.212,0,27.961695,1213.896,13.7
Gwazi - Lion,Busch Gardens Tampa,United States,Definitely closed,GCI,Wooden,Lap bar,1999,Chain lift hill,Twister,104.9856,0,49.70968,3510.456,13.7
Rolling Thunder,Six Flags Great Adventure,United States,Definitely closed,Don Rosser & Bill Cobb,Wooden,Lap bar,1979,Chain lift hill,Twister,95.1432,0,55.92339,3198.78,13.6
Gruvbanan,Skara Sommarland,Sweden,Operating,Mack,E-Powered,Common lap bar,1987,NA,NA,NA,0,NA,NA,13.6
Twistrix,Drievliet Family Park,Netherlands,Operating,Maurer,Steel,Lap bar,2001,Booster wheel lift hill,NA,NA,0,NA,NA,13.3
Boomerang,Bellewaerde,Belgium,Operating,Vekoma,Steel,Shoulder harness,1984,Cable lift hill,"Shuttle, Boomerang",118.1088,3,47.224196,935.028,13
Dream Hunters Society,Legendia,Poland,Operating,Unknown,Steel,Common lap bar,NA,Chain lift hill,Zyklon Z47,NA,0,NA,NA,13
Vortex,Kings Island,United States,Operating,Arrow,Steel,Shoulder harness,1987,Chain lift hill,Looper,147.636,6,55.302019,3799.1664,12.8
Canyon Blaster,Adventuredome,United States,Operating,Arrow,Steel,Shoulder harness,1993,Chain lift hill,Looper,95.1432,4,41.010486,2424.5112,12.8
Silver Mine,Freizeitpark Plohn,Germany,Definitely closed,Zierer,Steel,Common lap bar,2e3,Chain lift hill,"Flitzer, Family",NA,0,NA,NA,12.8
Le Train de la Mine,Cigoland,France,Operating,Soquet,Steel,Lap bar,2002,NA,Mine Train,22.9656,0,22.369356,NA,12.7
Dizzy Mouse,Wiener Prater,Austria,Operating,Reverchon,Steel,Lap bar,NA,Chain lift hill,Wild Mouse,42.6504,0,29.204437,1377.936,12.6
Tyfonen,Tivoli Friheden,Denmark,Operating,Zamperla,Steel,Lap bar,2006,Chain lift hill,Wild Mouse,42.6504,0,29.204437,1377.936,12.6
Runaway Mine Train,Six Flags Great Adventure,United States,Operating,Arrow,Steel,Lap bar,1974,Chain lift hill,Mine Train,NA,0,37.903631,NA,12.4
Formula One,Magic Park Land,France,Operating,Fabbri,Steel,Shoulder harness,NA,Chain lift hill,Wild Mouse,42.6504,0,29.204437,1377.936,12.3
Primeval Whirl,Disney's Animal Kingdom,United States,Operating,Reverchon,Steel,Lap bar,2002,Chain lift hill,Dual Wild Mouse,42.6504,0,29.204437,1377.936,12.2
Speedy Bob (Right),Bobbejaanland,Belgium,Operating,Mack,Steel,Lap bar,NA,Chain lift hill,Wild Mouse,45.9312,0,27.961695,1213.896,12
Gold Digger,Mirabilandia,Italy,Operating,L&T Systems,Steel,Lap bar,1998,Chain lift hill,Wild Mouse,49.212,0,21.747985,1181.088,11.9
Tornado,Avonturenpark Hellendoorn,Netherlands,Operating,Vekoma,Steel,Shoulder harness,1990,Chain lift hill,Looper,82.02,2,43.49597,1509.168,11.9
Kopermijn,Drievliet Family Park,Netherlands,Operating,Maurer,Steel,Lap bar,1996,Chain lift hill,Wild Mouse,49.212,0,27.961695,1213.896,11.8
Drakkar,Didiland,France,Operating,Soquet,Steel,Common lap bar,2e3,Chain lift hill,Junior Coaster,NA,0,NA,NA,11.7
Infusion,Blackpool Pleasure Beach,United Kingdom,Operating,Vekoma,Steel,Shoulder harness,2007,Chain lift hill,NA,111.5472,5,49.70968,2260.4712,11.6
Primeval Whirl (2),Disney's Animal Kingdom,United States,Operating,Reverchon,Steel,Lap bar,NA,Chain lift hill,Wild Mouse,42.6504,0,29.204437,1377.936,11.4
Sequoia Adventure,Gardaland,Italy,Temporarily closed,S&S,Steel,Shoulder harness,2005,NA,Screaming Squirrel,98.424,0,NA,NA,11.4
Goofy's Sky School,Disney California Adventure,United States,Operating,Mack,Steel,Lap bar,2001,Chain lift hill,Wild Mouse,NA,0,27.340324,NA,11.3
Super Manège,La Ronde,Canada,Operating,Vekoma,Steel,Lap bar,1981,Chain lift hill,Looper,75.4584,2,39.767744,2401.5456,11.1
Soarin' Eagle,Luna Park,United States,Operating,Zamperla,Steel,Flying restraint,2011,Spiral lift,Flying,49.212,2,25.476211,1282.7928,10.9
Wild Mouse,Nagashima Spa Land,Japan,Operating,Mack,Steel,Lap bar,1996,Chain lift hill,Wild Mouse,45.9312,0,28,1213.896,10.7
Crazy Mouse (Degousse),Foire,N/A,Operating,Reverchon,Steel,Unknown,NA,NA,NA,NA,0,NA,NA,10.7
Rockstar Coaster,Fun Spot Kissimmee,United States,Operating,Zamperla,NA,None,2011,NA,NA,42.6504,0,29.204437,1377.936,10.5
Puss in Boots Giant Journey,Universal Studios Singapore,Singapore,Operating,Zamperla,Steel,None,NA,Spiral lift,Family,55.7736,0,NA,1400.9016,10.4
River King Mine Train,Six Flags St Louis,United States,Operating,Arrow,Steel,Lap bar,1971,Chain lift hill,Mine Train,42.6504,0,37.28226,2499.9696,10.3
Wild Mouse,Flamingo Land Theme Park and Zoo,United Kingdom,Definitely closed,Maurer,Steel,Lap bar,1997,Chain lift hill,Wild Mouse,49.212,0,27.961695,1213.896,10.3
Wilde Maus,Wiener Prater,Austria,Operating,Maurer,Steel,Lap bar,1997,Chain lift hill,Wild Mouse,49.212,0,27.961695,1213.896,10.3
Toboggan Nordique,La Ronde,Canada,Operating,Zamperla,Steel,Lap bar,2003,Chain lift hill,Wild Mouse,42.6504,0,11.184678,885.816,10.1
Goudurix,Parc Asterix,France,Operating,Vekoma,Steel,Shoulder harness,NA,Chain lift hill,Looper,121.3896,7,46.602825,3116.76,10
Dream catcher,Bobbejaanland,Belgium,Operating,Vekoma,Steel,Shoulder harness,1987,Chain lift hill,NA,82.02,0,27.961695,1968.48,10
Kiddy Hawk,Carowinds,United States,Operating,Vekoma,Steel,Shoulder harness,NA,Booster wheel lift hill,Family,49.212,0,26.097582,1122.0336,9.6
Boomerang,Knott's Berry Farm,United States,Definitely closed,Vekoma,Steel,Shoulder harness,1990,Cable lift hill,"Boomerang, Multielement Shuttle",118.1088,3,47.224196,935.028,9.5
Runaway Mine Train,Six flags Over Texas,United States,Operating,Arrow,Steel,Lap bar,1966,Chain lift hill,Mine Train,36.0888,0,NA,2398.2648,9.4
Crazy Coaster,South Pier,United Kingdom,Operating,Reverchon,NA,Lap bar,2018,NA,NA,NA,0,NA,NA,9.2
Coast Rider,Knott's Berry Farm,United States,Operating,Mack,Steel,Lap bar,2013,Chain lift hill,Wild Mouse,52.4928,0,35,1345.128,9.1
Train de la Mine,Papea Parc,France,Operating,Soquet,Steel,Lap bar,1995,Chain lift hill,Family,NA,0,NA,NA,8.8
Crazy Mouse,Foire,N/A,Operating,Reverchon,Steel,Lap bar,1996,Chain lift hill,NA,42.6504,0,31.06855,1377.936,8.8
Pegasus,Efteling,Netherlands,Definitely closed,Dinn Corp.,Wooden,Lap bar,1991,Chain lift hill,Twister,49.212,0,34.175405,1614.1536,8.6
Bandit,Movie Park Germany,Germany,Operating,RCCA,Wooden,Lap bar,1999,Chain lift hill,Twister,91.8624,0,49.70968,3605.5992,8.2
Orkanens Øje,Tivoli Friheden,Denmark,Operating,Pinfari,Steel,Lap bar,1986,Chain lift hill,Looper,36.0888,1,NA,1197.492,8
Cobra,Walibi Belgium,Belgium,Operating,Vekoma,Steel,Shoulder harness,2001,Cable lift hill,"Boomerang, Multielement Shuttle",118.1088,3,47.224196,935.028,7.9
Buffalo Mountain Coaster,Drayton Manor,United Kingdom,Operating,Zamperla,Steel,Lap bar,1987,NA,E-Powered,NA,0,NA,NA,7.9
Turbo coaster,Brighton pier,United Kingdom,Operating,Pinfari,Steel,Shoulder harness,NA,Chain lift hill,Looper,36.0888,1,NA,1197.492,7.8
Sidewinder,Hersheypark,United States,Operating,Vekoma,Steel,Lap bar,1991,Cable lift hill,Shuttle,118.1088,3,47.224196,935.028,7.6
Holly's Wilde Autofahrt,Holiday Park,Germany,Definitely closed,Maurer,Steel,Lap bar,2010,Chain lift hill,Wild Mouse,49.212,0,27.961695,1213.896,7.1
Dahlonega Mine Train,Six Flags Over Georgia,United States,Operating,Arrow,Steel,Lap bar,1967,Chain lift hill,Mine Train,36.0888,0,29.204437,2322.8064,7
Anaconda,Walygator Parc,France,Operating,William J. Cobb,Wooden,Lap bar,1989,Chain lift hill,Out & Back,114.828,0,52.816535,3936.96,6.9
Boomerang Coast to Coaster,Great Escape,United States,Operating,Vekoma,Steel,Shoulder harness,1997,Cable lift hill,Shuttle,118.1088,3,47.224196,935.028,6.8
Nitro,Dennlys Parc,France,Operating,Preston & Barbieri,Steel,Lap bar,2010,Chain lift hill,NA,32.808,0,31.06855,1509.168,6.8
Bat,Canada's Wonderland,Canada,Operating,Vekoma,Steel,Shoulder harness,1987,Cable lift hill,"Shuttle, Boomerang",118.1088,3,47.224196,935.028,6.7
Vampire,Walibi Belgium,Belgium,Operating,Vekoma,Steel,Shoulder harness,1999,Chain lift hill,Suspended Looping,108.2664,5,49.70968,2260.4712,6.5
Corkscrew,Cedar Point,United States,Operating,Arrow,Steel,Shoulder harness,1976,Chain lift hill,Looper,75.4584,3,43.49597,2017.692,6.5
