name,location,continent,designer,construction,restraint,opening_year,launch,type,height,inversions,speed,length,score
Carolina Cyclone,Carowinds,North America,Arrow,Steel,Shoulder harness,1980,Chain lift hill,Looper,65.616,4,41.010486,2099.712,6.3
Flying Fish,Thorpe Park,Europe,Mack,Steel,Lap bar,1983,,E-Powered,19.6848,0,18.64113,767.7072,6.3
Spinning Out,Beech Bend,North America,SBF,Steel,Lap bar,2016,Booster wheel lift hill,,,0,,,6.1
Rexplorer,Mirabilandia,Europe,Mack,Steel,Lap bar,1992,,E-Powered,13.1232,0,22.369356,820.2,5.9
Zoomerang,Lake Compounce,North America,Vekoma,Steel,Shoulder harness,1997,Cable lift hill,Shuttle,114.828,3,46.602825,935.028,5.8
Blue Tornado,Gardaland,Europe,Vekoma,Steel,Shoulder harness,1998,Chain lift hill,Suspended Looping,108.2664,5,49.70968,2509.812,5.7
Loopen,TusenFryd,Europe,Vekoma,Steel,Shoulder harness,1988,Chain lift hill,Loop Corkscrew,61,2,40,,5.7
Imoogi,Le Fleury,Europe,Pinfari,Steel,None,2016,Chain lift hill,"Zyklon Z47, Family",55.7736,0,,,5.3
Blue Hawk,Six Flags Over Georgia,North America,Vekoma,Steel,Shoulder harness,1992,Chain lift hill,Looper,121.3896,5,52.195164,2742.7488,5.1
Ninja,Six Flags St Louis,North America,Vekoma,Steel,Shoulder harness,1989,Chain lift hill,Looper,108.2664,4,54.680648,2431.0728,5
King,Foire,Asia,Soquet,Steel,Shoulder harness,1995,Chain lift hill,,91.8624,0,55.92339,2362.176,5
Steamin' Demon,Great Escape,North America,Arrow,Steel,Shoulder harness,1984,Chain lift hill,Looper,68.8968,3,43.49597,1601.0304,5
Mind Eraser,Six Flags New England,North America,Vekoma,Steel,Shoulder harness,1997,Chain lift hill,SLC,111.5472,5,49.70968,2260.4712,4.9
T3,Kentucky Kingdom,North America,Vekoma,Steel,Shoulder harness,1995,Chain lift hill,Suspended Looping,101.7048,5,49.70968,2171.8896,4.2
Master Thaï,Mirabilandia,Europe,Preston & Barbieri,Steel,Lap bar,2011,Chain lift hill,Family,36.0888,0,,1410.744,4.1
Boomerang,Six Flags St Louis,North America,Vekoma,Steel,Shoulder harness,2013,Chain lift hill,Boomerang,118.1088,3,46.602825,875.9736,4
MP-Xpress,Movie Park Germany,Europe,Vekoma,Steel,Shoulder harness,2001,Chain lift hill,Suspended Looping,108.2664,5,49.70968,2260.4712,3.8
Trombi,Särkänniemi Amusement Park,Europe,Zamperla,Steel,Flying restraint,2005,Electrical lift hill,,49.212,2,25.476211,1282.7928,3.7
Mind Eraser,Six Flags America,North America,Vekoma,Steel,Shoulder harness,1995,Chain lift hill,SLC,108.2664,5,49.70968,2260.4712,3.2
Boomerang Coast to Coaster,Six Flags Discovery Kingdom,North America,Vekoma,Steel,Shoulder harness,1998,Chain lift hill,"Shuttle, Boomerang",118.1088,3,47.224196,935.028,3.1
Boomerang,Worlds of Fun,North America,Vekoma,Steel,Shoulder harness,2000,Cable lift hill,Shuttle,118.1088,3,47.224196,935.028,3
Familienachterbahn,Schloss Beck Freizeitpark,Europe,Zierer,Tivoli Medium,None,,,,,0,,,3
Coaster Express,Parque Warner Madrid,Europe,RCCA,Wooden,Lap bar,2002,Chain lift hill,Twister,118.1088,0,55.92339,4573.4352,3
Flashback,Six Flags New England,North America,Vekoma,Steel,Shoulder harness,2000,Chain lift hill,"Shuttle, Boomerang",118.1088,3,46.602825,875.9736,2.7
Limit,Heide Park,Europe,Vekoma,Steel,Shoulder harness,1999,Chain lift hill,Suspended Looping,108.2664,5,49.70968,2260.4712,2.7
Boomerang,La Ronde,North America,Vekoma,Steel,Shoulder harness,1984,Cable lift hill,"Shuttle, Boomerang",118.1088,3,47.224196,935.028,2.7
Demon,California's Great America,North America,Arrow,Steel,Shoulder harness,1976,Chain lift hill,Looper,101.7048,4,50.331051,2129.2392,2.6
Flight Deck,Canada's Wonderland,North America,Vekoma,Steel,Shoulder harness,,Chain lift hill,SLC,108.2664,5,49.70968,3244.7112,2.2
Time Warp,Canada's Wonderland,North America,Zamperla,Steel,Flying restraint,2004,Electrical lift hill,"Flying, Volare",49.212,2,25.476211,1282.7928,1.4
Kong,Six Flags Discovery Kingdom,North America,Vekoma,Steel,Shoulder harness,1998,Chain lift hill,SLC,111.5472,5,49.70968,2260.4712,0.6
Viking Roller Coaster,Energylandia,Europe,SBF,Steel,Shoulder harness,,Chain lift hill,Wild Mouse,42.6504,0,,1049.856,0.6
El Condor,Walibi Holland,Europe,Vekoma,Steel,Shoulder harness,1994,Chain lift hill,Suspended Looping,101.7048,5,49.70968,2171.8896,0.5
Volare,Wiener Prater,Europe,Zamperla,Steel,Flying restraint,2004,Spiral lift,"Flying, Volare",68.8968,2,31.06855,1436.9904,0.3
