continent,designer,construction,restraint,opening_year,launch,type,height,inversions,speed,length,score
2,18,5,5,32.40647888183594,14,57,111.5472,3,55.92339,1968.48,78.9
3,4,5,5,1998,4,1.2891212701797485,88.5816,4,57.787503,2798.5224,78.9
2,27,9,2,32.40647888183594,3,71,42.6504,0,31.06855,2362.176,78.4
3,18,5,2,32.40647888183594,4,59,150.9168,4,57.166132,2198.136,78.4
2,22,5,3,32.40647888183594,0.6916375160217285,25,65.616,0,0.4018142819404602,1499.3256,78.3
3,4,5,5,2008,4,1.2891212701797485,157.4784,5,65.243955,4209.2664,78.1
2,22,0.30698874592781067,3,2014,0.6916375160217285,1.2891212701797485,108.2664,0,52.816535,2870.7,77.3
2,29,5,2,32.40647888183594,14,76,147.636,0,62.1371,711.9336,77.2
2,4,5,5,2011,4,11,134.5128,1,0.4018142819404602,1561.6608,77.0
3,4,5,1,2003,4,1.2891212701797485,104.9856,2,50.952422,2759.1528,76.7
3,4,5,5,2014,4,1.2891212701797485,167.3208,7,68.35081,4133.808,76.5
2,4,5,5,32.40647888183594,4,57,91.8624,3,47.845567,1850.3712,76.3
3,4,5,5,1999,4,1.2891212701797485,141.0744,7,60.894358,3982.8912,76.1
3,4,5,1,2012,4,1.2891212701797485,121.3896,5,55.92339,3001.932,75.0
3,4,5,1,2003,4,1.2891212701797485,104.9856,2,50.952422,2798.5224,74.9
2,22,5,5,2001,4,1.2891212701797485,82.02,5,46.602825,2296.56,74.6
2,18,5,2,2017,5,1.2891212701797485,68.8968,0,32.311292,3044.5824,74.2
2,31,5,2,2002,17,1.2891212701797485,55.7736,0,37.28226,1345.128,74.1
3,37,0.30698874592781067,2,2004,14,1.2891212701797485,45.9312,0,39.767744,1906.1448,74.1
3,37,5,2,2012,14,1.2891212701797485,147.636,1,59.651616,49.98610305786133,73.7
2,4,5,5,2003,4,1.2891212701797485,95.1432,4,47.845567,2460.6,73.2
3,4,5,5,32.40647888183594,4,57,95.1432,7,52.816535,3198.78,73.0
1,50,5,2,1987,4,65,2.51601505279541,0,37.28226,49.98610305786133,72.4
2,50,5,2,2008,4,1.2891212701797485,82.02,0,49.70968,2427.792,71.8
3,22,5,5,2002,14,76,206.6904,0,72.079036,49.98610305786133,71.5
3,4,5,6,32.40647888183594,4,11,223.0944,3,74.56452,3444.84,71.5
2,29,5,2,2012,4,1.2891212701797485,65.616,0,43.49597,1515.7296,71.3
2,31,5,2,2002,17,1.2891212701797485,55.7736,0,41.010486,1525.572,71.3
3,17,9,2,2008,4,1.2891212701797485,82.02,0,47.845567,2713.2216,71.2
3,49,5,2,1924,4,1.2891212701797485,68.8968,0,55.302019,2641.044,70.3
3,4,5,5,1993,4,1.2891212701797485,104.9856,5,50.331051,2693.5368,70.1
1,29,5,2,2010,0.6916375160217285,1.2891212701797485,62.3352,0,0.4018142819404602,1919.268,69.7
2,22,5,2,1997,1,65,62.3352,0,40.389115,49.98610305786133,69.1
3,4,5,5,1997,4,1.2891212701797485,104.9856,5,50.331051,2700.0984,69.0
2,31,5,2,2004,4,1.2891212701797485,59.0544,0,0.4018142819404602,1771.632,68.7
3,4,5,5,1998,4,1.2891212701797485,154.1976,6,65.243955,4370.0256,68.2
2,31,5,2,2005,4,1.2891212701797485,72.1776,0,42.253228,2066.904,68.2
2,22,5,2,32.40647888183594,2,29,65.616,0,40.389115,2480.2848,68.0
3,50,5,1,2001,4,1.2891212701797485,114.828,5,50.331051,3339.8544,68.0
1,50,5,2,32.40647888183594,4,22,45.9312,0,31.06855,1909.4256,67.5
2,50,0.30698874592781067,5,2013,1,1.2891212701797485,62.3352,0,46.602825,1486.2024,67.4
3,4,5,5,1992,4,1.2891212701797485,101.7048,5,50.331051,2700.0984,67.0
3,31,5,2,2009,4,97,167.3208,0,65.243955,49.98610305786133,66.8
1,55,5,2,1999,0.6916375160217285,65,68.8968,0,46.602825,2329.368,66.7
2,50,0.30698874592781067,3,32.40647888183594,0.6916375160217285,1.2891212701797485,65.616,0,0.4018142819404602,1295.916,66.3
3,2,5,2,1980,4,65,2.51601505279541,0,36.039518,2778.8376,66.2
3,4,5,5,2002,4,1.2891212701797485,104.9856,5,50.331051,2700.0984,66.2
3,18,5,2,2014,8,55,2.51601505279541,0,34.796776,2427.792,65.4
3,51,5,2,1979,4,65,2.51601505279541,0,27.961695,2670.5712,65.4
1,15,5,2,1992,4,1.2891212701797485,59.0544,0,31.06855,2493.408,65.3
3,4,5,5,2002,4,1.2891212701797485,118.1088,5,55.302019,2601.6744,64.9
3,4,5,5,1995,4,1.2891212701797485,104.9856,5,50.331051,2693.5368,64.3
3,2,5,2,1975,4,1.2891212701797485,88.5816,0,27.340324,3195.4992,64.0
2,26,5,2,2007,4,1.2891212701797485,75.4584,0,0.4018142819404602,1377.936,64.0
3,2,5,2,1975,4,1.2891212701797485,88.5816,0,27.340324,3195.4992,64.0
2,50,5,2,32.40647888183594,1,22,65.616,0,46.602825,1486.2024,63.8
3,4,5,5,1994,4,1.2891212701797485,104.9856,5,49.70968,2700.0984,63.3
3,4,5,5,32.40647888183594,4,57,150.9168,7,62.758471,3986.172,63.1
2,29,5,2,2011,4,1.2891212701797485,72.1776,0,43.49597,1541.976,63.0
3,4,5,5,1997,4,1.2891212701797485,108.2664,5,50.331051,2562.3048,62.3
2,22,5,2,2009,4,1.2891212701797485,32.808,0,0.4018142819404602,984.24,62.3
3,4,5,5,1996,4,1.2891212701797485,144.3552,4,60.272987,3897.5904,62.1
3,4,5,5,1999,4,1.2891212701797485,108.2664,2,54.059277,2998.6512,62.0
3,2,5,5,1993,4,1.2891212701797485,78.7392,0,50.952422,2349.0528,61.8
2,56,5,2,2010,4,1.2891212701797485,72.1776,0,52.816535,1738.824,61.4
3,50,5,2,2014,4,65,2.51601505279541,0,0.4018142819404602,49.98610305786133,61.1
2,31,5,2,2008,4,1.2891212701797485,55.7736,0,37.28226,1377.936,60.8
3,4,5,1,2002,4,1.2891212701797485,104.9856,2,50.952422,2755.872,60.7
2,56,5,2,32.40647888183594,4,29,2.51601505279541,0,0.4018142819404602,49.98610305786133,60.6
1,48,5,5,1994,3,1.2891212701797485,98.424,3,43.49597,1181.088,60.4
2,50,5,5,1999,4,57,150.9168,3,59.651616,49.98610305786133,59.6
3,29,5,2,1998,4,94,2.51601505279541,0,0.4018142819404602,49.98610305786133,59.5
3,4,5,5,2008,4,1.2891212701797485,104.9856,5,49.70968,2700.0984,59.5
3,50,5,1,2004,4,1.2891212701797485,114.828,5,50.952422,2765.7144,59.4
2,31,5,2,32.40647888183594,4,40,52.4928,0,37.903631,1391.0592,58.5
3,7,5,2,1995,4,1.2891212701797485,68.8968,0,57.787503,1899.5832,58.2
2,34,5,2,2005,4,95,49.212,0,0.4018142819404602,1246.704,58.2
3,2,3,2,1978,4,1.2891212701797485,124.6704,0,59.651616,3936.96,58.0
2,29,5,2,32.40647888183594,15,22,85.3008,0,37.28226,3024.8976,57.8
2,18,5,2,2011,4,1.2891212701797485,55.7736,0,34.175405,1312.32,57.4
3,4,5,5,1999,4,1.2891212701797485,104.9856,5,50.331051,2700.0984,57.3
2,50,5,5,32.40647888183594,14,58,78.7392,3,57.166132,3402.1896,56.9
2,45,5,2,1987,4,1.2891212701797485,49.212,0,40.389115,1837.248,56.8
2,18,5,2,2012,4,1.2891212701797485,49.212,0,0.4018142819404602,1181.088,55.9
1,50,5,2,2005,0.6916375160217285,1.2891212701797485,101.7048,0,0.4018142819404602,3451.4016,55.6
3,7,9,2,2001,3,1.2891212701797485,55.7736,0,44.738712,2099.712,55.0
2,29,5,2,32.40647888183594,10,15,45.9312,0,19.262501,1656.804,54.8
1,50,5,5,2010,11,57,2.51601505279541,0,0.4018142819404602,49.98610305786133,54.6
1,48,5,5,32.40647888183594,4,1.2891212701797485,95.1432,3,44.117341,1377.936,54.0
3,18,5,2,2008,4,1.2891212701797485,52.4928,0,31.06855,1351.6896,53.4
2,22,5,5,2007,13,1.2891212701797485,45.9312,1,83.885085,2952.72,53.3
2,55,5,2,2010,16,1.2891212701797485,2.51601505279541,0,42.253228,49.98610305786133,52.7
2,18,5,2,2012,1,76,2.51601505279541,0,0.4018142819404602,49.98610305786133,52.6
2,42,5,2,2004,4,1.2891212701797485,65.616,0,46.602825,2040.6576,52.5
3,37,5,2,2005,14,50,45,0,39.767744,49.98610305786133,52.4
2,50,2,3,32.40647888183594,0.6916375160217285,1.2891212701797485,656.16,0,0.4018142819404602,65.616,52.3
3,35,5,2,1946,4,1.2891212701797485,85.3008,0,50.331051,3359.5392,52.1
3,56,5,2,2015,4,1.2891212701797485,98.424,4,55.302019,1975.0416,52.0
2,18,5,2,2012,4,65,55.7736,0,0.4018142819404602,1476.36,51.3
3,37,5,2,2006,14,1.2891212701797485,45.9312,0,39.767744,1958.6376,51.2
3,17,3,2,2017,0.6916375160217285,91,75.4584,0,47.845567,49.98610305786133,51.1
2,2,5,5,1990,4,1.2891212701797485,55.7736,0,45.981454,2349.0528,50.4
3,31,5,2,2013,4,1.2891212701797485,49.212,0,39.767744,1410.744,50.4
2,31,5,2,2004,4,1.2891212701797485,55.7736,0,37.28226,1476.36,50.2
2,18,2,2,2018,4,1.2891212701797485,36.0888,0,0.4018142819404602,1312.32,50.2
2,29,5,2,2011,4,1.2891212701797485,91.8624,0,43.49597,1492.764,49.9
