name,location,continent,designer,construction,restraint,opening_year,launch,type,height,inversions,speed,length,score
471,Thorpe Park,2,22,5,5,2002,4,69,98.424,10,44.738712,2788.68,36.2
475,Kings Island,3,2,5,2,1991,4,65,62.3352,0,34.796776,2962.5624,35.7
476,Walibi Rhône Alpes,2,50,5,2,1988,3,78,118.1088,3,47.224196,935.028,35.5
481,Hersheypark,3,17,9,2,1996,4,91,88.5816,0,50.331051,3182.376,34.5
485,Nigloland,2,29,5,2,1998,15,40,59.0544,0,37.28226,2624.64,34
493,Belantis,2,18,5,5,2010,4,21,104.9856,5,52.816535,1837.248,32.1
494,Walibi Holland,2,50,5,5,2e3,4,78,114.828,3,46.602825,935.028,32
502,Bagatelle,2,47,5,2,1987,4,66,39.3696,0,37.28226,1312.32,30.9
503,Wiener Prater,2,49,9,3,1950,4,22,49.212,0,34.175405,1476.36,30.8
504,Waldameer,3,35,9,2,1951,4,91,36.0888,0,24.85484,1299.1968,30.8
505,Six Flags Over Georgia,3,12,9,2,1990,4,91,95.1432,0,50.331051,2969.124,30.8
507,Europa Park,2,29,5,2,1985,4,5,62.3352,0,31.06855,1597.7496,30.6
521,Knott's Berry Farm,3,56,5,2,1995,1,22,65.616,0,34.796776,2601.6744,28.2
522,Le Pal,2,47,5,2,2003,4,22,55.7736,0,34.175405,1640.4,28.1
533,Rainbow MagicLand,2,50,5,2,2011,4,65,45.9312,0,29.825808,2234.2248,26.8
535,Legoland Billund,2,29,5,2,2002,4,95,52.4928,0,34.796776,1312.32,26.6
537,Cedar Point,3,12,9,2,1991,4,91,160.7592,0,62.1371,5426.4432,26.2
541,Six Flags Magic Mountain,3,2,5,2,1971,4,65,68.8968,0,34.796776,2591.832,25.6
542,Worlds of Fun,3,12,9,2,1989,4,91,101.7048,0,52.816535,4232.232,24.9
543,Bobbejaanland,2,29,5,2,2e3,11,14,32.808,0,22.369356,1709.2968,24.8
544,Canada's Wonderland,3,35,9,2,1981,4,91,88.5816,0,55.92339,3828.6936,24.8
549,Gardaland,2,50,5,5,1985,4,57,98.424,4,43.49597,2296.56,24.4
553,Disneyland Park,2,22,5,5,1993,4,57,59.0544,1,36.039518,1856.9328,23.9
