name,country,status,designer,construction,restraint,opening_year,launch,type,height,inversions,speed,length,score
0,19,1,41,4,3,2018.0,3,0,206.6904,4.0,73.943149,5741.4,100.0
1,19,1,3,7,3,2015.0,3,37,324.7992,0.0,95.069763,6600.9696,99.5
2,19,1,23,7,6,2007.0,13,76,104.9856,2.0,70.214923,4448.7648,99.2
3,19,1,41,4,3,2018.0,3,59,111.5472,3.0,54.059277,3359.5392,99.1
4,19,1,23,11,3,2006.0,2,97,180.444,0.0,70.214923,4399.5528,98.9
5,16,1,41,11,3,2016.0,3,99,187.0056,3.0,70.214923,4265.04,98.8
6,9,1,43,7,6,2006.0,3,0,249.3408,2.0,78.292746,3782.7624,98.8
7,19,1,41,11,3,2016.0,13,0,164.04,0.0,73.321778,3799.1664,98.8
8,19,1,41,4,3,2015.0,3,0,121.3896,2.0,57.166132,4986.816,98.8
9,15,1,3,7,3,2012.0,3,39,249.3408,0.0,83.263714,5131.1712,98.2
10,13,1,23,7,3,2018.0,3,40,252.6216,1.0,86.99194,4757.16,98.2
11,7,1,23,7,3,2016.0,13,0,98.424,0.0,72.700407,4330.656,98.1
12,19,1,41,4,3,2015.0,3,0,108.2664,3.0,55.302019,3320.1696,98.0
13,7,1,23,7,3,2001.0,2,65,173.8824,0.0,74.56452,4002.576,97.9
14,16,1,30,7,3,2014.0,13,63,134.5128,7.0,62.1371,4530.7848,97.8
15,19,1,41,7,3,2018.0,3,62,114.828,3.0,52.195164,1804.44,97.5
16,19,1,41,7,3,2016.0,3,0,101.7048,3.0,52.195164,2742.7488,97.3
17,19,1,41,4,3,2013.0,3,0,164.04,2.0,68.35081,0,97.1
18,19,1,41,4,3,2018.0,3,0,101.7048,3.0,50.331051,2401.5456,97.0
19,19,1,23,7,3,2003.0,12,77,419.9424,0.0,119.303232,2798.5224,96.9
20,13,1,51,7,8,2017.0,3,59,131.232,0.0,59.030245,2978.9664,96.8
21,19,1,41,11,3,2014.0,3,97,180.444,2.0,71.457665,3116.76,96.7
22,19,1,41,4,3,2013.0,3,0,180.444,1.0,70.214923,3267.6768,96.5
23,19,1,2,7,6,2002.0,3,0,173.8824,6.0,75.807262,3608.88,96.1
24,8,1,23,7,6,2009.0,13,76,180.444,3.0,74.56452,3280.8,95.9
25,8,1,3,7,6,2000.0,3,0,164.04,6.0,64.622584,3936.96,95.8
26,19,1,23,7,6,2010.0,2,36,305.1144,0.0,90.098795,5101.644,95.8
27,9,1,3,7,2,2016.0,3,0,124.6704,5.0,0,3687.6192,95.8
28,17,1,23,7,3,2016.0,2,0,206.6904,1.0,74.56452,4921.2,95.4
29,19,1,36,11,3,1985.0,3,74,78.7392,0.0,44.738712,3198.78,95.3
30,19,1,30,7,3,2018.0,13,56,98.424,3.0,49.70968,3018.336,95.2
31,19,1,23,7,3,2000.0,2,36,308.3952,0.0,93.20565,6594.408,95.2
32,19,1,3,7,3,2016.0,3,40,200.1288,0.0,71.457665,4757.16,94.9
33,19,1,3,7,6,2007.0,3,11,203.4096,2.0,74.56452,3116.76,94.6
34,11,1,23,7,3,2002.0,2,65,154.1976,0.0,65.865326,3982.8912,94.5
35,19,1,41,4,3,2016.0,3,0,101.7048,3.0,52.816535,3198.78,94.3
36,16,1,23,11,3,2003.0,3,97,118.1088,0.0,55.92339,3510.456,94.3
37,19,1,7,7,3,2014.0,3,0,101.7048,0.0,55.92339,2509.812,94.0
38,18,1,3,7,6,0,3,95,42.6504,4.0,50.331051,2349.0528,93.9
39,7,1,19,7,3,2015.0,3,46,239.4984,1.0,78.914117,4051.788,93.6
40,6,1,3,7,6,2012.0,3,0,131.232,5.0,56.544761,3280.8,93.6
41,19,1,3,7,3,2006.0,3,39,200.1288,0.0,69.593552,4478.292,93.4
42,19,1,41,4,3,2011.0,3,0,154.1976,0.0,65.243955,4199.424,93.2
43,11,1,3,7,8,2018.0,3,0,131.232,3.0,59.030245,2667.2904,92.8
44,19,1,23,7,3,2000.0,3,65,206.6904,0.0,77.050004,5400.1968,92.8
45,19,1,3,7,6,1996.0,3,0,150.9168,7.0,59.651616,3982.8912,92.7
46,19,1,3,7,6,2005.0,3,11,200.1288,1.0,70.214923,3188.9376,92.5
47,19,1,23,7,3,2002.0,12,76,203.4096,0.0,82.020972,2201.4168,92.4
48,19,1,23,7,6,2012.0,2,65,196.848,0.0,74.56452,3608.88,92.4
49,3,1,51,7,6,2016.0,13,0,78.7392,0.0,59.030245,3182.376,92.3
50,19,1,3,7,6,1999.0,3,0,111.5472,6.0,62.1371,2952.72,92.2
51,19,1,3,7,2,2006.0,3,0,170.6016,4.0,62.1371,3599.0376,92.1
52,15,1,3,7,6,2002.0,3,0,164.04,7.0,65.243955,3936.96,92.0
53,19,1,23,7,6,2005.0,12,77,456.0312,0.0,128.002426,3116.76,91.9
54,19,1,3,7,3,2001.0,3,39,229.656,0.0,79.535488,5393.6352,91.6
55,19,1,3,7,6,2015.0,13,0,141.0744,4.0,62.1371,3034.74,91.1
56,19,1,3,7,2,2009.0,3,0,141.0744,4.0,60.272987,3359.5392,90.9
57,9,1,23,7,7,2008.0,2,66,104.9856,0.0,54.059277,2460.6,90.8
58,4,1,23,7,3,2008.0,3,66,104.9856,0.0,55.92339,2477.004,90.8
59,19,1,3,7,2,2013.0,3,0,170.6016,6.0,67.108068,4163.3352,90.5
60,7,1,3,7,6,2006.0,3,0,85.3008,4.0,49.70968,0,90.3
61,9,1,43,7,3,2001.0,8,1,170.6016,0.0,106.875812,3900.8712,90.2
62,6,1,3,7,6,2010.0,3,0,137.7936,6.0,57.166132,3936.96,90.1
63,6,1,30,7,3,0,3,65,98.424,0.0,62.1371,2624.64,89.9
64,19,1,3,7,6,1997.0,3,0,196.848,6.0,67.108068,0,89.9
65,11,1,18,11,3,2007.0,3,97,114.828,0.0,0,3280.8,89.5
66,19,1,21,4,3,2008.0,3,97,78.7392,0.0,56.544761,2900.2272,89.2
67,18,1,30,7,3,2018.0,13,59,88.5816,1.0,49.70968,3749.9544,89.1
68,14,1,51,7,6,2010.0,10,0,137.7936,0.0,55.92339,0,89.0
69,18,1,23,7,6,2006.0,12,76,206.6904,0.0,83.885085,1312.32,88.9
70,19,1,3,7,6,2000.0,3,0,167.3208,6.0,70.214923,4025.5416,88.6
71,2,1,3,7,3,2008.0,3,39,229.656,0.0,77.050004,5318.1768,88.5
72,7,1,18,11,3,2012.0,3,97,114.828,0.0,62.1371,3444.84,88.5
73,15,1,23,7,3,2017.0,13,77,367.4496,0.0,114.953635,2887.104,88.3
74,19,1,3,7,3,1999.0,3,39,170.6016,0.0,73.321778,4881.8304,88.0
75,19,1,38,7,3,2013.0,13,54,157.4784,2.0,69.593552,2198.136,88.0
76,19,1,23,7,6,2004.0,12,76,183.7248,3.0,74.56452,2644.3248,88.0
77,19,1,18,11,3,2017.0,3,97,108.2664,0.0,52.816535,3264.396,87.8
78,5,1,19,5,3,2015.0,13,0,131.232,3.0,64.622584,2821.488,87.4
79,19,1,38,7,3,2004.0,13,53,45.9312,0.0,40.389115,2198.136,87.4
80,19,1,3,7,6,2001.0,3,0,134.5128,4.0,57.787503,3116.76,87.3
81,19,1,38,7,3,1998.0,13,80,216.5328,1.0,70.214923,1299.1968,87.1
82,7,4,23,11,3,2001.0,3,74,167.3208,0.0,68.35081,4921.2,86.9
83,19,1,23,7,6,2011.0,13,76,101.7048,1.0,60.272987,4429.08,86.8
