Name,Theirs,Ours
1,99.2,97.13308715820312
2,99.1,98.83114624023438
3,98.9,95.2284927368164
4,98.8,94.6477279663086
5,98.2,80.26033020019531
6,98.2,95.04120635986328
7,97.9,97.48499298095703
8,97.8,89.94505310058594
9,97.5,74.21648406982422
10,96.9,92.80148315429688
11,96.8,86.70043182373047
12,96.7,92.50875091552734
13,95.9,94.62908172607422
14,95.8,86.30110931396484
15,95.3,40.188690185546875
16,95.2,77.1814193725586
17,95.2,87.64720153808594
18,94.9,83.82598876953125
19,94.6,86.73555755615234
20,94.5,90.47144317626953
21,94.3,78.50054168701172
22,93.6,93.63995361328125
23,93.4,81.97429656982422
24,92.8,86.75758361816406
25,92.5,85.82730865478516
26,92.4,87.6605453491211
27,92.4,85.71963500976562
28,91.9,97.52832794189453
29,91.6,84.04398345947266
30,90.8,87.01181030273438
31,90.2,99.29680633544922
32,89.2,66.62491607666016
33,89.1,77.90042877197266
34,88.9,81.55550384521484
35,88.5,83.3216552734375
36,88.5,73.57353973388672
37,88.3,91.96472930908203
38,88.0,74.48815155029297
39,88.0,95.80276489257812
40,88.0,96.27391815185547
41,87.8,60.6194953918457
42,87.4,63.83110046386719
43,87.1,87.94171142578125
44,86.9,63.423789978027344
45,86.8,92.07642364501953
46,86.3,84.08110046386719
47,85.8,84.56562042236328
48,85.7,86.77848052978516
49,85.4,45.388248443603516
50,85.3,77.1466064453125
51,85.2,90.98070526123047
52,84.9,68.63123321533203
53,84.7,74.93123626708984
54,84.6,83.77075958251953
55,84.0,79.14997863769531
56,83.9,83.62287139892578
57,83.9,83.70590209960938
58,83.8,79.28678131103516
59,83.8,84.74434661865234
60,83.5,68.775634765625
61,83.5,72.93151092529297
62,83.2,83.42151641845703
63,82.7,92.46212005615234
64,82.4,58.39817810058594
65,82.0,83.59048461914062
66,81.9,79.89652252197266
67,81.9,80.32284545898438
68,81.6,80.80475616455078
69,81.5,65.22404479980469
70,81.4,69.68284606933594
71,81.3,75.6898422241211
72,80.3,69.68284606933594
73,80.3,85.35171508789062
74,80.2,82.94252014160156
75,79.2,76.56085205078125
76,79.0,76.21861267089844
77,78.3,103.19587707519531
78,78.1,69.70977020263672
79,77.8,73.44998931884766
80,77.6,50.84260177612305
81,76.9,85.7945556640625
82,76.1,80.97329711914062
83,76.0,64.33194732666016
84,75.5,72.62380981445312
85,75.3,78.09239959716797
86,75.0,62.17451095581055
87,75.0,71.34742736816406
88,74.5,70.15103149414062
89,74.4,62.13021469116211
90,74.3,78.36251068115234
91,74.2,69.85285186767578
92,73.4,48.44109344482422
93,73.3,66.10989379882812
94,73.3,73.48131561279297
95,73.2,71.94647216796875
96,72.9,74.3741226196289
97,72.3,59.382972717285156
98,71.9,79.10613250732422
99,71.8,82.09315490722656
100,71.7,81.35839080810547
101,71.3,69.37736511230469
102,70.9,85.97244262695312
103,70.8,82.31983184814453
104,70.7,57.44147872924805
105,70.6,61.32251739501953
106,69.6,58.78459930419922
107,69.4,62.37215805053711
108,69.1,61.388580322265625
109,68.8,66.58675384521484
110,68.6,60.567195892333984
111,68.4,69.38206481933594
112,68.3,78.32105255126953
113,67.9,63.87923049926758
114,67.7,62.04814147949219
115,67.5,72.59998321533203
116,67.4,65.37755584716797
117,66.7,57.92506790161133
118,66.7,55.673667907714844
119,66.6,40.885982513427734
120,66.2,67.72801208496094
121,66.0,63.342037200927734
122,65.8,77.61601257324219
123,65.7,55.673667907714844
124,65.7,65.92893981933594
125,65.7,62.04526138305664
126,65.6,57.19084167480469
127,65.5,62.68262481689453
128,65.5,80.1839370727539
129,65.3,62.854373931884766
130,65.2,70.20144653320312
131,65.0,72.84896850585938
132,64.6,61.395668029785156
133,64.5,59.42593765258789
134,64.2,68.60545349121094
135,63.9,79.29386901855469
136,63.8,52.403480529785156
137,63.7,42.619789123535156
138,63.0,62.14414978027344
139,62.9,58.49937438964844
140,62.2,67.0252914428711
141,61.9,63.466285705566406
142,61.8,56.80540466308594
143,61.8,60.31029510498047
144,61.5,72.04955291748047
145,61.3,64.06010437011719
146,61.3,72.51604461669922
147,61.1,43.9085807800293
148,60.8,63.111724853515625
149,60.7,54.66460037231445
150,60.1,69.44729614257812
151,60.0,62.907615661621094
152,59.9,52.78833770751953
153,59.7,50.36800003051758
154,59.7,60.471954345703125
155,59.5,47.167930603027344
156,59.0,50.439414978027344
157,58.9,62.754947662353516
158,58.3,50.90201950073242
159,56.5,64.70584106445312
160,56.5,56.896949768066406
161,56.2,50.56755065917969
162,55.5,62.222843170166016
163,55.2,50.55572509765625
164,55.2,56.83335494995117
165,55.0,30.387300491333008
166,55.0,47.02663040161133
167,54.5,57.63695526123047
168,54.3,48.84001541137695
169,54.1,62.04814147949219
170,53.9,52.986572265625
171,53.9,53.08502960205078
172,53.1,38.54410934448242
173,52.8,64.30037689208984
174,52.7,47.34657669067383
175,52.6,49.445674896240234
176,52.2,49.50468826293945
177,52.0,51.787227630615234
178,51.9,55.1422004699707
179,51.6,32.94379425048828
180,51.5,53.353084564208984
181,51.3,49.55780029296875
182,51.1,67.18634033203125
183,51.0,52.94024658203125
184,51.0,39.48294448852539
185,50.9,68.75521850585938
186,50.8,46.466529846191406
187,50.8,55.51264190673828
188,50.8,60.247928619384766
189,50.5,59.05842971801758
190,50.2,49.5403938293457
191,49.1,41.65361404418945
192,49.1,50.61543655395508
193,48.7,46.43348693847656
194,48.3,52.07133483886719
195,47.4,55.58191680908203
196,47.2,62.465694427490234
197,46.2,26.7696590423584
198,46.2,39.36768341064453
199,45.7,55.495784759521484
200,45.6,64.34068298339844
201,43.6,42.2864875793457
202,43.1,46.8255729675293
203,42.9,52.60862350463867
204,41.5,31.71408462524414
205,41.5,39.19558334350586
206,41.4,48.632118225097656
207,41.3,37.52348327636719
208,41.1,43.7918586730957
209,40.9,43.3328971862793
210,40.3,66.0387954711914
211,40.1,45.48228454589844
212,40.1,56.47871017456055
213,40.0,43.625282287597656
214,39.9,49.916709899902344
215,39.8,37.7651481628418
216,39.7,39.45893096923828
217,39.5,23.641481399536133
218,39.4,22.096792221069336
219,39.1,28.786203384399414
220,39.0,49.04624557495117
221,38.6,48.80238723754883
222,38.1,33.0688362121582
223,37.7,43.83087158203125
224,37.6,61.52120590209961
225,37.2,62.76665115356445
226,37.2,43.037750244140625
227,36.2,20.168920516967773
228,36.2,47.98163604736328
229,35.7,28.652606964111328
230,35.5,36.16195297241211
231,34.5,59.04929733276367
