name score height speed length inversions status park country manufacturer type launch restraint "opening date" type1 train cost "closing date" vr
"Wood Express" 77.6 49.212 37.903631 1571.5032 0 Operating "Parc Saint Paul" France "Gravity Group" Hybrid "Chain lift hill" "Lap bar" 2018 "Twister, Family" NA NA NA NA
"Dragon Challenge : Hungarian Horntail" 77.4 124.6704 55.302019 3198.78 5 "Definitely closed" "Universal Studios Islands of Adventure" "United States" B&M Steel "Chain lift hill" "Shoulder harness" 5/28/99 NA Inverted NA NA NA
Altair 77.3 108.2664 52.816535 2870.7 0 Operating "CineCittà World" Italy Intamin NA NA None 7/24/14 NA NA NA NA NA
Pulsar 77.2 147.636 62.1371 711.9336 0 Operating "Walibi Belgium" Belgium Mack Steel "Magnetic Launch (LIM/LSM)" "Lap bar" NA Shuttle "Water Coaster" NA NA NA
Krake 77 134.5128 NA 1561.6608 1 Operating "Heide Park" Germany B&M Steel "Chain lift hill" "Shoulder harness" 4/16/11 Dive NA NA NA NA
"Batman : Arkham Asylum" 76.9 104.9856 49.70968 2700.0984 5 Operating "Parque Warner Madrid" Spain B&M Steel "Chain lift hill" "Shoulder harness" 2002 "Batman Inverted Coaster" NA NA NA NA
"Superman - Ultimate Flight" 76.7 104.9856 50.952422 2759.1528 2 Operating "Six Flags Great Adventure" "United States" B&M Steel "Chain lift hill" "Flying restraint" 2003 NA Flying NA NA NA
Banshee 76.5 167.3208 68.35081 4133.808 7 Operating "Kings Island" "United States" B&M Steel "Chain lift hill" "Shoulder harness" 4/18/14 NA Inverted NA NA NA
Dæmonen 76.3 91.8624 47.845567 1850.3712 3 Operating "Tivoli Gardens" Denmark B&M Steel "Chain lift hill" "Shoulder harness" NA Looper Floorless NA NA NA
Bizarro 76.1 141.0744 60.894358 3982.8912 7 Operating "Six Flags Great Adventure" "United States" B&M Steel "Chain lift hill" "Shoulder harness" 1999 NA Floorless NA NA NA
Twister 76.1 49.212 37.903631 1574.784 0 Operating "Gröna Lund" Sweden "Gravity Group" Wooden "Chain lift hill" "Lap bar" 2011 Twister NA NA NA NA
Megafobia 76 85.3008 47.845567 2956.0008 0 Operating Oakwood "United Kingdom" CCI Wooden "Chain lift hill" "Lap bar" 1996 Twister NA NA NA NA
"Wild Mouse" 76 NA NA 1279.512 0 "Definitely closed" "Blackpool Pleasure Beach" "United Kingdom" Unknown Wooden "Chain lift hill" Seatbelt 1958 "Wild Mouse" NA NA NA NA
"Sky Scream" 75.5 150.9168 62.1371 853.008 1 Operating "Holiday Park" Germany "Premier Rides" Steel "Magnetic Launch (LIM/LSM)" "Lap bar" 4/12/14 "Looper, Sky Rocket" NA NA NA NA
Thunderbird 75.3 88.5816 46.602825 2788.68 0 Operating PowerPark Finland GCI Wooden "Chain lift hill" "Lap bar" 2006 Twister NA NA NA NA
"Wooden Warrior" 75 36.0888 34.796776 1240.1424 0 Operating "Quassy Amusement Park" "United States" "Gravity Group" Wooden "Chain lift hill" "Lap bar" 4/23/11 Twister NA NA NA NA
Lynet 75 65.616 49.70968 1771.632 2 Operating "Farup Sommerland" Denmark Gerstlauer Steel "Hydraulic cable launch" "Shoulder harness" 2008 Looper NA NA NA NA
X-Flight 75 121.3896 55.92339 3001.932 5 Operating "Six Flags Great America" "United States" B&M Steel "Chain lift hill" "Flying restraint" 5/16/12 NA Wing NA NA NA
"Superman - Ultimate Flight" 74.9 104.9856 50.952422 2798.5224 2 Operating "Six Flags Great America" "United States" B&M Steel "Chain lift hill" "Flying restraint" 2003 NA Flying NA NA NA
Tornado 74.6 82.02 46.602825 2296.56 5 Operating "Särkänniemi Amusement Park" Finland Intamin Steel "Chain lift hill" "Shoulder harness" 2001 NA Inverted NA NA NA
"Tennessee Tornado" 74.5 164.04 62.758471 2683.6944 3 Operating Dollywood "United States" Arrow Steel "Chain lift hill" "Shoulder harness" 1999 Looper NA NA NA NA
"White Lightning" 74.4 75.4584 46.602825 1968.48 0 Operating "Fun Spot America" "United States" GCI Wooden "Chain lift hill" "Lap bar" 2013 "Out & Back" NA NA NA NA
"Phantom's Revenge" 74.3 229.656 82.020972 3198.78 0 Operating Kennywood "United States" Arrow Steel "Chain lift hill" "Lap bar" 1991 Hyper NA NA NA NA
"Pegase Express" 74.2 68.8968 32.311292 3044.5824 0 Operating "Parc Asterix" France Gerstlauer Steel "Chain lift hill, Booster wheel lift hill, Tire propelled launch" "Lap bar" 6/11/17 NA "Sit Down" NA NA NA
"Heidi the Ride" 74.2 72.1776 43.49597 2034.096 0 Operating Plopsaland Belgium GCI Wooden "Chain lift hill" "Lap bar" 4/2/17 "Out & Back, Family" NA NA NA NA
"Winja's Force" 74.1 55.7736 37.28226 1345.128 0 Operating Phantasialand Germany Maurer Steel "Vertical lift" "Lap bar" 2002 NA Spinning NA NA NA
"Revenge of the Mummy the Ride" 74.1 45.9312 39.767744 1906.1448 0 Operating "Universal Studios Hollywood" "United States" "Premier Rides" NA "Magnetic Launch (LIM/LSM)" "Lap bar" 6/25/04 NA NA NA NA NA
"Superman Ultimate Fight" 73.7 147.636 59.651616 NA 1 Operating "Six Flags Discovery Kingdom" "United States" "Premier Rides" Steel "Magnetic Launch (LIM/LSM)" "Lap bar" 2012 NA NA NA NA NA
GhostRider 73.4 118.1088 55.92339 4534.0656 0 Operating "Knott's Berry Farm" "United States" GCI Wooden "Chain lift hill" "Lap bar" 1998 Twister NA NA NA NA
"Colorado Adventure" 73.3 85.3008 31.06855 4199.424 0 Operating Phantasialand Germany Vekoma Steel "Booster wheel lift hill" "Lap bar" 1996 "Mine Train" NA NA NA NA
Abismo 73.3 150.9168 65.243955 1476.36 2 Operating "Parque de Atracciones de Madrid" Spain Maurer Steel "Chain lift hill" "Lap bar" 2006 "X Car" NA NA NA NA
"Nemesis Inferno" 73.2 95.1432 47.845567 2460.6 4 Operating "Thorpe Park" "United Kingdom" B&M Steel "Chain lift hill" "Shoulder harness" 2003 NA Inverted NA NA NA
"Big Thunder Mountain" 73.2 72.1776 37.28226 4921.2 0 Operating "Disneyland Park" France Vekoma Steel "Chain lift hill" "Lap bar" 1992 "Mine Train, Family" NA NA NA NA
"Hydra the Revenge" 73 95.1432 52.816535 3198.78 7 Operating "Dorney Park" "United States" B&M Steel "Chain lift hill" "Shoulder harness" NA Looper Floorless NA NA NA
Fujiyama 72.9 259.1832 80.77823 6709.236 0 Operating "Fuji-Q Highland" Japan Togo Steel "Chain lift hill" "Lap bar" 1996 Hyper NA NA NA NA
"Big Thunder Mountain" 72.4 NA 37.28226 NA 0 Operating "Tokyo Disneyland" Japan Vekoma Steel "Chain lift hill" "Lap bar" 1987 "Mine Train" NA NA NA NA
"Steel Force" 72.3 200.1288 74.56452 5597.0448 0 Operating "Dorney Park" "United States" Morgan Steel "Chain lift hill" "Lap bar" 1997 Hyper NA NA NA NA
Rita 71.9 68.8968 60.894358 2122.6776 0 Operating "Alton Towers" "United Kingdom" Intamin Steel "Hydraulic cable launch" "Shoulder harness" 2005 Rocket NA NA NA NA
"The Wicker Man" 71.8 72.1776 44.117341 2027.5344 0 Operating "Alton Towers" "United Kingdom" GCI Wooden "Chain lift hill" "Lap bar" 3/18/18 Twister NA NA NA NA
"Muntanya Russa" 71.8 82.02 49.70968 2427.792 0 Operating Tibidabo Spain Vekoma Steel "Chain lift hill" "Lap bar" 2008 NA NA NA NA NA
"Raging Bull" 71.7 203.4096 73.321778 5058.9936 0 Operating "Six Flags Great America" "United States" B&M Steel "Chain lift hill" "Lap bar" 1999 Hyper NA NA NA NA
"Wicked Twister" 71.5 206.6904 72.079036 NA 0 Operating "Cedar Point" "United States" Intamin Steel "Magnetic Launch (LIM/LSM)" "Shoulder harness" 2002 Shuttle NA NA NA NA
Valravn 71.5 223.0944 74.56452 3444.84 3 Operating "Cedar Point" "United States" B&M Steel "Chain lift hill" "Vest restraint" NA Dive Floorless NA NA NA
Dwervelwind 71.3 65.616 43.49597 1515.7296 0 Operating Toverland Netherlands Mack Steel "Chain lift hill" "Lap bar" 9/29/12 NA Spinning NA NA NA
"Desert Race" 71.3 62.3352 62.1371 2132.52 0 Operating "Heide Park" Germany Intamin Steel "Hydraulic cable launch" "Lap bar" 2007 Rocket NA NA NA NA
"Winja's Fear" 71.3 55.7736 41.010486 1525.572 0 Operating Phantasialand Germany Maurer Steel "Vertical lift" "Lap bar" 2002 NA Spinning NA NA NA
"American Thunder" 71.2 82.02 47.845567 2713.2216 0 Operating "Six Flags St Louis" "United States" GCI Wooden "Chain lift hill" "Lap bar" 6/20/08 NA NA NA NA NA
Ukko 70.9 150.9168 65.243955 492.12 2 Operating Linnanmäki Finland Maurer Steel "Chain lift hill" "Shoulder harness" 2011 "X Car" NA NA NA NA
Juvelen 70.8 39.3696 52.816535 3280.8 0 Operating "Djurs Sommerland" Denmark Intamin Steel "Tire propelled launch" "Shoulder harness" 4/5/13 "Family Launch Coaster" NA NA NA NA
Thunderhead 70.7 101.7048 55.302019 3231.588 0 Operating Dollywood "United States" GCI Wooden "Chain lift hill" "Lap bar" 2004 Twister NA NA NA NA
"Gold Striker" 70.6 108.2664 54.059277 3198.78 0 Operating "California's Great America " "United States" GCI Wooden "Chain lift hill" "Lap bar" 2013 Twister NA NA NA NA
"Giant Dipper" 70.3 68.8968 55.302019 2641.044 0 Operating "Santa Cruz Beach Boardwalk" "United States" Unknown Steel "Chain lift hill" "Lap bar" 1924 NA NA NA NA NA
"Batman The Ride" 70.1 104.9856 50.331051 2693.5368 5 Operating "Six Flags Great Adventure" "United States" B&M Steel "Chain lift hill" "Shoulder harness" 1993 NA Inverted NA NA NA
"Space Fantasy the Ride" 69.7 62.3352 NA 1919.268 0 Operating "Universal Studios Japan" Japan Mack Steel NA "Lap bar" 2010 NA Spinning NA NA NA
"Mind Bender" 69.6 82.02 50.331051 3254.5536 2 Operating "Six Flags Over Georgia" "United States" Schwarzkopf Steel "Chain lift hill" "Shoulder harness" 1978 Looper NA NA NA NA
"Boardwalk Bullet" 69.4 95.1432 50.952422 3234.8688 0 Operating "Kemah Boardwalk" "United States" "Gravity Group" Wooden "Chain lift hill" "Lap bar" 2007 Twister NA NA NA NA
"Mine Train Ulven" 69.1 62.3352 40.389115 NA 0 Operating Bakken Denmark Intamin Steel "Booster wheel lift hill" "Lap bar" 1997 "Mine Train" NA NA NA NA
"Batman: The Ride" 69.1 118.1088 37.903631 1017.048 0 Operating "Six Flags Fiesta Texas" "United States" S&S Steel "Chain lift hill" "Shoulder harness" 5/23/15 "Free Spin" NA NA NA NA
"Batman The Ride" 69 104.9856 50.331051 2700.0984 5 Operating "Six Flags Over Georgia" "United States" B&M Steel "Chain lift hill" "Shoulder harness" 1997 NA Inverted NA NA NA
"Vertical Velocity" 68.8 150.9168 65.243955 629.9136 1 Operating "Six Flags Discovery Kingdom" "United States" Intamin Steel "Magnetic Launch (LIM/LSM)" "Shoulder harness" 2001 Shuttle NA NA NA NA
"Dragon's Fury" 68.7 59.0544 NA 1771.632 0 Operating "Chessington World of Adventures" "United Kingdom" Maurer Steel "Chain lift hill" "Lap bar" 2004 NA Spinning NA NA NA
"Space Mountain" 68.6 75.4584 32.311292 3451.4016 0 Operating Disneyland "United States" "Dynamic Attractions" Steel "Chain lift hill" "Lap bar" 7/15/05 Indoor NA NA NA NA
"Speed Monster" 68.4 131.232 55.92339 2263.752 3 Operating TusenFryd Norway Intamin Steel "Hydraulic cable launch" "Shoulder harness" 2006 Rocket NA NA NA NA
Tempesto 68.3 150.9168 62.1371 862.8504 1 Operating "Busch Gardens Williamsburg" "United States" "Premier Rides" Steel "Magnetic Launch (LIM/LSM)" "Lap bar" 4/25/15 "Looper, Sky Rocket" NA NA NA NA
"Riddler's Revenge" 68.2 154.1976 65.243955 4370.0256 6 Operating "Six Flags Magic Mountain" "United States" B&M Steel "Chain lift hill" "Shoulder harness" 4/4/98 NA "Stand Up" NA NA NA
Tarantula 68.2 72.1776 42.253228 2066.904 0 Operating "Parque de Atracciones de Madrid" Spain Maurer Steel "Chain lift hill" "Lap bar" 2005 NA Spinning NA NA NA
Thirteen 68 65.616 40.389115 2480.2848 0 Operating "Alton Towers" "United Kingdom" Intamin Steel "Booster wheel lift hill, Vertical lift" "Lap bar" NA "Free Fall" "Sit Down" NA NA NA
Batwing 68 114.828 50.331051 3339.8544 5 Operating "Six Flags America" "United States" Vekoma Steel "Chain lift hill" "Flying restraint" 2001 NA Flying NA NA NA
"Vertical Velocity" 67.9 183.7248 70.214923 629.9136 0 Operating "Six Flags Great America" "United States" Intamin Steel "Magnetic Launch (LIM/LSM)" "Shoulder harness" 2001 Shuttle NA NA NA NA
Joker 67.7 121.3896 37.903631 1017.048 0 Operating "Six Flags Great America" "United States" S&S Steel "Chain lift hill" "Shoulder harness" 5/27/17 "Free Spin" NA NA NA NA
Firehawk 67.6 114.828 50.331051 3339.8544 0 "Definitely closed" "Kings Island" "United States" Vekoma Steel "Chain lift hill" "Flying restraint" 2007 NA Flying NA NA NA
"Seven Dwarfs Mine Train" 67.5 45.9312 31.06855 1909.4256 0 Operating "Shanghaï Disneyland" China Vekoma Steel "Chain lift hill" "Lap bar" NA Family "Sit Down" NA NA NA
"Steel Dragon 2000" 67.5 318.2376 95.069763 8133.1032 0 Operating "Nagashima Spa Land" Japan Morgan Steel "Chain lift hill" "Lap bar" 2000 Giga NA NA NA NA
"Steel Eel" 67.4 150.9168 65.243955 3700.7424 0 Operating "SeaWorld San Antonio" "United States" Morgan Steel "Chain lift hill" "Lap bar" 1999 Megacoaster NA NA NA NA
Orkanen 67.4 62.3352 46.602825 1486.2024 0 Operating "Farup Sommerland" Denmark Vekoma NA "Booster wheel lift hill" "Shoulder harness" 2013 NA Suspended NA NA NA
"Batman The Ride" 67 101.7048 50.331051 2700.0984 5 Operating "Six Flags Great America" "United States" B&M Steel "Chain lift hill" "Shoulder harness" 1992 NA Inverted NA NA NA
"Hollywood Rip, Ride, Rockit" 66.8 167.3208 65.243955 NA 0 Operating "Universal Studios Florida" "United States" Maurer Steel "Chain lift hill" "Lap bar" 2009 "X Car" NA NA NA NA
Kirnu 66.7 85.3008 37.28226 465.8736 0 Operating Linnanmäki Finland Intamin Steel "Chain lift hill" "Shoulder harness" 2007 ZacSpin NA NA NA NA
"Wild West Mine Train" 66.7 68.8968 46.602825 2329.368 0 Operating "Ocean Park" China Zamperla Steel NA "Lap bar" 1999 "Mine Train" NA NA NA NA
"Lightning Racer (Thunder)" 66.7 88.5816 50.952422 3398.9088 0 Operating Hersheypark "United States" GCI Wooden "Chain lift hill" "Lap bar" 2000 Twister NA NA NA NA
"Van Helsing's Factory" 66.6 26.2464 22.369356 1312.32 0 Operating "Movie Park Germany" Germany Gerstlauer Steel "Chain lift hill" "Lap bar" 6/18/11 "Bobsled, Indoor" NA NA NA NA
"Flight of the Pterosaur" 66.3 65.616 NA 1295.916 0 Operating "Paultons Park" "United Kingdom" Vekoma NA NA None NA NA Suspended NA NA NA
"Sky Wheel" 66.2 150.9168 65.243955 492.12 2 Operating "Skyline Park" Germany Maurer Steel "Chain lift hill" "Lap bar" 2004 "X Car" NA NA NA NA
"Big Thunder Mountain Railroad" 66.2 NA 36.039518 2778.8376 0 Operating "Disney's Magic Kingdom" "United States" Arrow Steel "Chain lift hill" "Lap bar" 1980 "Mine Train" NA NA NA NA
Vampire 66.2 104.9856 50.331051 2700.0984 5 Operating "La Ronde" Canada B&M Steel "Chain lift hill" "Shoulder harness" 2002 NA Inverted NA NA NA
"Joker's Jinx" 66 78.7392 59.651616 2703.3792 4 Operating "Six Flags America" "United States" "Premier Rides" Steel "Magnetic Launch (LIM/LSM)" "Lap bar" 1999 NA NA NA NA NA
Goliath 65.8 232.9368 85.127827 4494.696 0 Operating "Six Flags Magic Mountain" "United States" Giovanola Steel "Chain lift hill" "Lap bar" 2000 Megacoaster NA NA NA NA
"Lightning Racer (Lightning)" 65.7 88.5816 50.952422 3398.9088 0 Operating Hersheypark "United States" GCI Wooden "Chain lift hill" "Lap bar" 2000 Twister NA NA NA NA
Jetline 65.7 104.9856 55.92339 2624.64 0 Operating "Gröna Lund" Sweden Schwarzkopf Steel "Chain lift hill" "Lap bar" 1988 NA "Sit Down" NA NA NA
Joker 65.7 121.3896 37.903631 1020.3288 0 Operating "Six Flags Great Adventure" "United States" S&S Steel "Chain lift hill" "Shoulder harness" 5/28/16 "Free Spin" NA NA NA NA
"Thunder Loop" 65.6 78.7392 46.602825 1942.2336 1 Relocated "Attractiepark Slagharen" Netherlands Schwarzkopf Steel "Chain lift hill" "Lap bar" 1979 Looper NA NA NA NA
"Psyké underground" 65.5 137.7936 52.816535 853.008 1 Operating "Walibi Belgium" Belgium Schwarzkopf Steel "Magnetic Launch (LIM/LSM)" "Lap bar" 1982 "Shuttle, Looper" NA NA NA NA
"Magnum XL 200" 65.5 206.6904 72.079036 5104.9248 0 Operating "Cedar Point" "United States" Arrow Steel "Chain lift hill" "Lap bar" 1989 Hyper NA NA NA NA
"FireChaser Express" 65.4 NA 34.796776 2427.792 0 Operating Dollywood "United States" Gerstlauer Steel "Chain lift hill, Tire propelled launch" "Lap bar" 3/22/14 Family NA NA NA NA
"Big Thunder Mountain Railroad" 65.4 NA 27.961695 2670.5712 0 Operating Disneyland "United States" "Walt Disney Imagineering" Steel "Chain lift hill" "Lap bar" 1979 "Mine Train" NA NA NA NA
Hollenblitz 65.3 59.0544 31.06855 2493.408 0 Operating Foire N/A "EOS rides" Steel "Chain lift hill" "Lap bar" 1992 NA Spinning NA NA NA
"Superman : Escape from Krypton" 65.3 413.3808 99.41936 1233.5808 0 Operating "Six Flags Magic Mountain" "United States" Intamin Steel "Magnetic Launch (LIM/LSM)" "Lap bar" 1997 Shuttle NA NA NA NA
Ultimate 65.2 157.4784 49.70968 7440.8544 0 Operating "Lightwater Valley" "United Kingdom" "Big Country Mitioneering" Steel "Chain lift hill" "Lap bar" 1991 "Mine Train" NA NA NA NA
Manta 65 29.5272 43.49597 2788.68 0 Operating "SeaWorld San Diego" "United States" Mack Steel "Magnetic Launch (LIM/LSM)" "Lap bar" 5/26/12 NA "Sit Down" NA NA NA
"Batman : The dark Knight" 64.9 118.1088 55.302019 2601.6744 5 Operating "Six Flags New England" "United States" B&M Steel "Chain lift hill" "Shoulder harness" 2002 NA Floorless NA NA NA
Joker 64.6 118.1088 37.903631 1017.048 0 Operating "Six flags Over Texas" "United States" S&S Steel "Chain lift hill" "Shoulder harness" 5/20/17 "Free Spin" NA NA NA NA
"The Boss" 64.5 150.9168 65.865326 5052.432 0 Operating "Six Flags St Louis" "United States" CCI Wooden "Chain lift hill" "Lap bar" 2000 Twister NA NA NA NA
"Batman The Ride" 64.3 104.9856 50.331051 2693.5368 5 Operating "Six Flags St Louis" "United States" B&M Steel "Chain lift hill" "Shoulder harness" 1995 NA Inverted NA NA NA
"Montezooma's Revenge" 64.2 147.636 55.302019 800.5152 1 Operating "Knott's Berry Farm" "United States" Schwarzkopf Steel "Hydraulic cable launch" "Lap bar" 1978 Shuttle NA NA NA NA
"Space Mountain - Omega" 64 88.5816 27.340324 3195.4992 0 Operating "Disney's Magic Kingdom" "United States" Arrow Steel "Chain lift hill" "Lap bar" 1975 NA "Sit Down" NA NA NA
"Die Vliegende Hollander" 64 75.4584 NA 1377.936 0 Operating Efteling Netherlands Kumbak Steel "Chain lift hill" "Lap bar" 2007 NA "Water Coaster" NA NA NA
"Space Mountain - Alpha" 64 88.5816 27.340324 3195.4992 0 Operating "Disney's Magic Kingdom" "United States" Arrow Steel "Chain lift hill" "Lap bar" 1975 NA "Sit Down" NA NA NA
Titan 63.9 246.06 85.127827 5311.6152 0 Operating "Six flags Over Texas" "United States" Giovanola Steel "Chain lift hill" "Lap bar" 2001 Hyper NA NA NA NA
"Mystery Mine" 63.8 114.828 45.981454 1811.0016 2 Operating Dollywood "United States" Gerstlauer Steel "Chain lift hill" "Shoulder harness" 2007 Euro-Fighter NA NA NA NA
"Dragon Roller Coaster" 63.8 65.616 46.602825 1486.2024 0 Operating Energylandia Poland Vekoma Steel "Booster wheel lift hill" "Lap bar" NA Family Suspended NA NA NA
Twister 63.7 101.7048 51.573793 3900.8712 0 Operating Knoebels "United States" "Philadelphia Toboggan Coaster" Wooden "Chain lift hill" "Lap bar" 1999 Twister NA NA NA NA
"Batman the Ride" 63.3 104.9856 49.70968 2700.0984 5 Operating "Six Flags Magic Mountain" "United States" B&M Steel "Chain lift hill" "Shoulder harness" 1994 NA Inverted NA NA NA
Scream! 63.1 150.9168 62.758471 3986.172 7 Operating "Six Flags Magic Mountain" "United States" B&M Steel "Chain lift hill" "Shoulder harness" NA Looper Floorless NA NA NA
"Rock'n Roller Coaster starringAerosmith" 63 78.7392 59.651616 3369.3816 3 Operating "Disney Hollywood Studios" "United States" Vekoma Steel "Magnetic Launch (LIM/LSM)" "Shoulder harness" 1999 Looper NA NA NA NA
"Le Twist" 63 72.1776 43.49597 1541.976 0 Operating "Le Pal" France Mack Steel "Chain lift hill" "Lap bar" 2011 NA Spinning NA NA NA
"Flight of Fear" 62.9 75.4584 54.059277 2706.66 4 Operating "Kings Dominion" "United States" "Premier Rides" Steel "Magnetic Launch (LIM/LSM)" "Lap bar" 1996 "Looper, Indoor" NA NA NA NA
"Great White" 62.3 108.2664 50.331051 2562.3048 5 Operating "SeaWorld San Antonio" "United States" B&M Steel "Chain lift hill" "Shoulder harness" 1997 NA Inverted NA NA NA
Tornado 62.3 32.808 NA 984.24 0 Operating Bakken Denmark Intamin Steel "Chain lift hill" "Lap bar" 4/9/09 NA Spinning NA NA NA
"Iron Shark" 62.2 101.7048 52.195164 1246.704 1 Operating "Galveston Island Historic Pleasure Pier" "United States" Gerstlauer Steel "Chain lift hill" "Lap bar" 6/1/12 Euro-Fighter NA NA NA NA
Rougarou 62.1 144.3552 60.272987 3897.5904 4 Operating "Cedar Point" "United States" B&M Steel "Chain lift hill" "Shoulder harness" 1996 NA Floorless NA NA NA
"Georgia Scorcher" 62 108.2664 54.059277 2998.6512 2 Operating "Six Flags Over Georgia" "United States" B&M Steel "Chain lift hill" "Shoulder harness" 1999 NA "Stand Up" NA NA NA
Takabisha 61.9 141.0744 62.1371 3280.8 7 Operating "Fuji-Q Highland" Japan Gerstlauer Steel "Magnetic Launch (LIM/LSM)" "Shoulder harness" 2011 Euro-Fighter NA NA NA NA
Bat 61.8 78.7392 50.952422 2349.0528 0 Operating "Kings Island" "United States" Arrow Steel "Chain lift hill" "Shoulder harness" 1993 NA Suspended NA NA NA
"The Legend" 61.8 114.828 57.787503 4041.9456 0 Operating "Holiday World" "United States" CCI Wooden "Chain lift hill" "Lap bar" 2000 Twister NA NA NA NA
Freischütz 61.8 78.7392 49.70968 1509.168 3 Operating "Bayern Park" Germany Maurer Steel "Magnetic Launch (LIM/LSM)" "Lap bar" 8/21/11 Rocket NA NA NA NA
Shockwave 61.5 114.828 59.651616 3599.0376 2 Operating "Six flags Over Texas" "United States" Schwarzkopf Steel "Chain lift hill" "Lap bar" 1978 Looper NA NA NA NA
"Force One" 61.4 72.1776 52.816535 1738.824 0 Operating "Schwaben Park" Germany Zierer Steel "Chain lift hill" "Lap bar" 2010 NA NA NA NA NA
Possessed 61.3 180.444 70.214923 705.372 0 Operating "Dorney Park" "United States" Intamin Steel "Magnetic Launch (LIM/LSM)" "Shoulder harness" 2008 Shuttle NA NA NA NA
Mammut 61.3 98.424 55.92339 2821.488 0 Operating Tripsdrill Germany "Cordes GmbH" Wooden "Chain lift hill" "Lap bar" 2008 Twister NA NA NA NA
Viper 61.1 101.7048 50.331051 3457.9632 0 Operating "Six Flags Great America" "United States" "Philadelphia Toboggan Coaster" Wooden "Chain lift hill" "Lap bar" 1995 Twister NA NA NA NA
"Seven Dwarfs Mine Train" 61.1 NA NA NA 0 Operating "Disney's Magic Kingdom" "United States" Vekoma Steel "Chain lift hill" "Lap bar" 2014 "Mine Train" NA NA NA NA
Salama 60.8 55.7736 37.28226 1377.936 0 Operating Linnanmäki Finland Maurer Steel "Chain lift hill" "Lap bar" 2008 NA NA NA NA NA
Speed 60.8 114.828 59.030245 2001.288 2 Operating Oakwood "United Kingdom" Gerstlauer Steel "Chain lift hill" "Shoulder harness" 2006 Euro-Fighter NA NA NA NA
"Alpina Bahn" 60.7 88.5816 49.70968 2985.528 0 Operating Foire N/A Schwarzkopf Steel "Tire propelled launch" "Lap bar" 1983 Looper NA NA NA NA
"Superman - Ultimate Flight" 60.7 104.9856 50.952422 2755.872 2 Operating "Six Flags Over Georgia" "United States" B&M Steel "Chain lift hill" "Flying restraint" 2002 NA Flying NA NA NA
"Polar X-plorer" 60.6 NA NA NA 0 Operating "Legoland Billund" Denmark Zierer Steel "Chain lift hill" "Lap bar" NA "Free Fall" "Sit Down" NA NA NA
"Ultra Twister Megaton" 60.4 98.424 43.49597 1181.088 3 Operating Greenland Japan Togo Steel "Cable lift hill" "Shoulder harness" 3/19/94 NA Pipeline NA NA NA
"Half Pipe" 60.1 98.424 43.49597 229.656 0 Operating "Särkänniemi Amusement Park" Finland Intamin Steel "Magnetic Launch (LIM/LSM)" "Lap bar" 2003 Shuttle NA NA NA NA
Prowler 60 101.7048 50.952422 3074.1096 0 Operating "Worlds of Fun" "United States" GCI Wooden "Chain lift hill" "Lap bar" 5/2/09 Twister NA NA NA NA
"Saw - The Ride" 59.9 101.7048 55.302019 2362.176 3 Operating "Thorpe Park" "United Kingdom" Gerstlauer Steel "Chain lift hill" "Shoulder harness" 2009 Euro-Fighter NA NA NA NA
"G'sengte Sau" 59.7 52.4928 31.06855 1574.784 0 Operating Tripsdrill Germany Gerstlauer Steel "Chain lift hill" "Lap bar" 1998 Bobsled NA NA NA NA
Insane 59.7 118.1088 37.28226 820.2 0 Operating "Gröna Lund" Sweden Intamin Steel "Electrical lift hill" "Shoulder harness" 2009 ZacSpin NA NA NA NA
"Millennium Roller Coaster" 59.6 150.9168 59.651616 NA 3 Operating "Fantasy Island Ingoldmells" "United Kingdom" Vekoma Steel "Chain lift hill" "Shoulder harness" 1999 Looper NA NA NA NA
"Journey to Atlantis" 59.5 NA NA NA 0 Operating "SeaWorld Orlando" "United States" Mack Steel "Chain lift hill" "Lap bar" 1998 NA "Water Coaster" NA NA NA
"Timber Drop" 59.5 98.424 41.010486 1377.936 2 Operating "Fraispertuis City" France S&S Steel "Chain lift hill" "Shoulder harness" 2011 "El Loco" NA NA NA NA
Goliath 59.5 104.9856 49.70968 2700.0984 5 Operating "Six Flags Fiesta Texas" "United States" B&M Steel "Chain lift hill" "Shoulder harness" 2008 NA Inverted NA NA NA
"Nighthawk• Carowinds" 59.4 114.828 50.952422 2765.7144 5 Operating Carowinds "United States" Vekoma Steel "Chain lift hill" "Flying restraint" 2004 NA Flying NA NA NA
"Formule X" 59 49.212 43.49597 984.24 2 Operating "Drievliet Family Park" Netherlands Maurer Steel "Magnetic Launch (LIM/LSM)" "Lap bar" 2007 "X Car" NA NA NA NA
Switchback 58.9 65.616 41.010486 1197.492 0 Operating "ZDT's Amusement Park" "United States" "Gravity Group" Wooden "Chain lift hill" "Lap bar" 10/17/15 Shuttle NA NA NA NA
"Crush's Coaster" 58.5 52.4928 37.903631 1391.0592 0 Operating "Walt Disney Studios" France Maurer Steel "Chain lift hill" "Lap bar" NA Indoor Spinning NA NA NA
"Tiki Waka" 58.3 65.616 34.175405 1640.4 0 Operating "Walibi Belgium" Belgium Gerstlauer Steel "Chain lift hill" "Lap bar" 4/7/18 "Bobsled, Family" NA NA NA NA
Cyclops 58.2 68.8968 57.787503 1899.5832 0 Operating "Mt. Olympus Water & Theme Park" "United States" CCI Steel "Chain lift hill" "Lap bar" 1995 NA NA NA NA NA
