name score height speed length inversions status park country manufacturer type launch restraint "opening date" type1 train cost "closing date" vr
Goliath 94.5 154.1976 65.865326 3982.8912 0 Operating "Walibi Holland" Netherlands Intamin Steel "Cable lift hill" "Lap bar" 2002 Megacoaster NA NA NA NA
Joker 94.3 101.7048 52.816535 3198.78 3 Operating "Six Flags Discovery Kingdom" "United States" RMC Hybrid "Chain lift hill" "Lap bar" 5/30/16 NA NA NA NA NA
Balder 94.3 118.1088 55.92339 3510.456 0 Operating Liseberg Sweden Intamin Wooden "Chain lift hill" "Lap bar" 2003 Twister NA NA NA NA
"Lightning Run" 94 101.7048 55.92339 2509.812 0 Operating "Kentucky Kingdom" "United States" "Chance Rides" Steel "Chain lift hill" "Lap bar" 5/24/14 NA "Sit Down" NA NA NA
Nemesis 93.9 42.6504 50.331051 2349.0528 4 Operating "Alton Towers" "United Kingdom" B&M Steel "Chain lift hill" "Shoulder harness" NA Terrain Inverted NA NA NA
"Schwur des Kärnan" 93.6 239.4984 78.914117 4051.788 1 Operating "Hansa Park" Germany Gerstlauer Steel "Chain lift hill" "Lap bar" 7/1/15 Infinity NA NA NA NA
OzIris 93.6 131.232 56.544761 3280.8 5 Operating "Parc Asterix" France B&M Steel "Chain lift hill" "Shoulder harness" 4/7/12 NA Inverted NA NA NA
Goliath 93.4 200.1288 69.593552 4478.292 0 Operating "Six Flags Over Georgia" "United States" B&M Steel "Chain lift hill" "Lap bar" 2006 Hyper NA NA NA NA
"New Texas Giant" 93.2 154.1976 65.243955 4199.424 0 Operating "Six flags Over Texas" "United States" RMC Hybrid "Chain lift hill" "Lap bar" 4/22/11 NA NA NA NA NA
Fenix 92.8 131.232 59.030245 2667.2904 3 Operating Toverland Netherlands B&M Steel "Chain lift hill" "Vest restraint" 7/7/18 NA Wing NA NA NA
"Superman : the Ride" 92.8 206.6904 77.050004 5400.1968 0 Operating "Six Flags New England" "United States" Intamin Steel "Chain lift hill" "Lap bar" 2000 Megacoaster NA NA NA NA
Montu 92.7 150.9168 59.651616 3982.8912 7 Operating "Busch Gardens Tampa" "United States" B&M Steel "Chain lift hill" "Shoulder harness" 1996 NA Inverted NA NA NA
SheiKra 92.5 200.1288 70.214923 3188.9376 1 Operating "Busch Gardens Tampa" "United States" B&M Steel "Chain lift hill" "Shoulder harness" 2005 Dive NA NA NA NA
