name,park,designer,construction,type,year_opened,g_force,height,inversions,length,speed,angle,train_mfg,drop,launch,max_passenger,duration_sec
Polar Coaster,Story Land,O.D. Hopkins,Steel,Family Terrain,1987,NA,20,NA,NA,25,NA,Morgan Manufacturing,NA,NA,12,NA
Poltergeist,Six Flags Fiesta Texas,Premier Rides,Steel,Launched Multielement,1999,4.5,79,4,NA,60,NA,NA,NA,LIM,24,60
Pony Express,Knott's Berry Farm,Zamperla,Steel,Motocoaster,2008,NA,47,NA,NA,40,NA,NA,NA,Flywheel,16,2160
Poseidon,Europa Park,Mack,Steel,Water Coaster,2e3,3,75.5,NA,NA,43.5,50,Mack,NA,NA,8,240
Possessed,Dorney Park & Wildwater Kingdom,Intamin AG,Steel,"Impulse, Inverted Shuttle",2008,NA,181,NA,640,70,90,NA,181,LIM,28,NA
Powder Keg,Silver Dollar City,"S&S Power, Premier Rides",Steel,Launched,2005,3.9,98,NA,NA,64,NA,S&S Power,110,Compressed Air,16,120
Predator,Darien Lake,Curtis D. Summers,Wood,Double Out and Back,1990,NA,95,NA,NA,50,NA,Philadelphia Toboggan Co.,87,NA,24,60
Primeval Whirl,Disney's Animal Kingdom,Reverchon,Steel,Dual Wild Mouse,2002,2.5,43,NA,NA,29,NA,NA,30,NA,4,60
Project 1,Cavallino Matto,L&T Systems,Steel,Compact,2006,NA,53,NA,919,NA,NA,NA,NA,NA,24,60
Project X,LEGOLAND Florida,Mack,Steel,Wild Mouse,2011,NA,52,NA,NA,35,NA,NA,50,NA,NA,60
Prowler,Worlds of Fun,Great Coasters International,Wood,Terrain Twister,2009,NA,NA,NA,NA,51,NA,Great Coasters International,85,NA,24,120
Psycho Mouse,California's Great America,Arrow Dyanmics,Steel,Wild Mouse,2001,NA,58,NA,NA,30,NA,NA,NA,NA,NA,NA
Psyclone,Six Flags Magic Mountain,"Dinn Corp., Curtis D. Summers",Wood,Twister,1991,3,95,NA,NA,55,53,Bolliger & Mabillard,78,NA,24,60
Psyké Underground,Walibi Belgium,Anton Schwarzkopf,Steel,"Shuttle Loop, Flywheel",1982,NA,138,2,722,53,70,Gerstlauer,NA,LIM,28,2100
Pteranodon Flyers,Universal's Islands of Adventure,"Setpoint, Spectra FX",Steel,Suspended,1999,NA,65,NA,800,NA,NA,NA,NA,NA,2,60
Puff The Little Fire Dragon,Lagoon,Zierer,Steel,Junior Tivoli,1985,NA,NA,NA,198,16,NA,Zierer,NA,NA,12,NA
Pulsar,Walibi Belgium,Mack Rides GmbH,Steel,Shuttle,2016,NA,148,NA,NA,62,NA,NA,NA,LSM,20,NA
Python,Busch Gardens Tampa,Arrow Dynamics,Steel,Corkscrew,1976,NA,75,2,NA,45,NA,Arrow Dynamics,70,NA,24,60
Python,Efteling,Vekoma,Steel,Loop Corkscrew,1981,3.5,95,4,NA,47,NA,Kumbak,NA,NA,28,120
Python,Nashville Valley,"Miler Coaster, Inc.",Steel,"Junior, Oval",2003,NA,13,NA,300,10,NA,"Miler Coaster, Inc.",12,NA,10,NA
Python,Gulliver's Land,Pinfari,Steel,Family Twister,2002,2.2,30,NA,764,25,NA,NA,NA,NA,24,3e3
Python,Spring Park,"Miler Coaster, Inc.",Steel,"Junior, Oval",2005,NA,13,NA,300,10,NA,"Miler Coaster, Inc.",12,NA,10,NA
Python,Playland's Castaway Cove,Pinfari,Steel,Looping Zyklon,1996,NA,36,NA,NA,NA,NA,Pinfari,32,NA,12,NA
Python in Bamboo Forest,Wanda Culture Tourist City & Park,Great Coasters International,Wood,Double Out & Back,2016,NA,160,NA,NA,62,NA,Great Coasters International,135,NA,24,60
Python Pit,Jeepers! Clinton Township,"Miler Coaster, Inc.",Steel,"Junior, Oval",2007,NA,11.5,NA,300,10,NA,"Miler Coaster, Inc.",10,NA,10,NA
Python Pit,Jeepers! Meuthuen,"Miler Coaster, Inc.",Steel,"Junior, Oval",1999,NA,11.5,NA,300,10,NA,"Miler Coaster, Inc.",10,NA,10,NA
Python Pit,Zonkers,"Miler Coaster, Inc.",Steel,Junior,1997,NA,13,NA,300,10,NA,NA,12,NA,10,NA
