name,park,designer,construction,type,year_opened,g_force,height,inversions,length,speed,angle,train_mfg,drop,launch,max_passenger,duration_sec
Roller Coaster,Great Yarmouth Pleasure Beach,Erich Heidrich,Wood,Side Friction,1932,NA,70,NA,NA,45,NA,NA,NA,NA,NA,180
Roller Coaster,Blackbeard's Family Fun Center,E&F Miler Industries,Steel,Junior Oval,2014,NA,11.5,NA,NA,NA,NA,NA,NA,NA,10,3e3
Roller Coaster,Paul Bunyan Land,Molina & Sons,Steel,Junior Oval,2004,NA,10,NA,NA,NA,NA,NA,NA,NA,10,NA
Roller Coaster,Country Mercantile,"Miler Coaster, Inc.",Steel,Junior,2011,NA,13,NA,300,8,NA,NA,12,NA,10,NA
Roller Coaster,Magic Forest,Allan Herschell,Steel,"Junior, Oval",1960,NA,15,NA,NA,15,NA,NA,12,NA,NA,NA
Roller Coaster,Saunders County Fairgrounds,Schiff,Steel,Junior Oval,2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Roller Skater,Kentucky Kingdom,Vekoma International,Steel,Junior Twister,1994,NA,28,NA,679,22,NA,NA,20,NA,14,3e3
Roller Skater,Six Flags Mexico,Vekoma International,Steel,Junior Twister,1993,NA,28,NA,679,22,NA,Vekoma International,20,NA,16,2640
Roller Soaker,Hersheypark,Setpoint,Steel,Suspended,2002,NA,70,NA,NA,20.4,NA,NA,NA,NA,36,NA
Rollie's Coaster,Morey's Mariner's Landing,Pinfari,Steel,Zyklon,1999,NA,33,NA,NA,30,NA,Pinfari,25,NA,4,NA
Rollin' Thunder,OWA,Zamperla,Steel,Looping,2017,4.3,115,4,NA,56,NA,NA,NA,NA,9,NA
Rolling Thunder,Tahoe Amusement Park,"Miler Coaster, Inc.",Steel,"Junior, Oval",NA,NA,7,NA,185,NA,NA,NA,NA,NA,8,NA
Rolling Thunder,Six Flags Great Adventure,"Don Rosser, William Cobb",Wood,"Racer, Out and Back, Figure 8",1979,NA,96,NA,NA,56,45,Philadelphia Toboggan Co.,85,NA,24,120
Rolling X-Train,Everland,Arrow,Steel,Looping Corkscrew,1988,NA,99,4,NA,44,NA,Vekoma,NA,NA,28,60
Rollo Coaster,Idlewild & Soak Zone,"Herb Schmeck, Philadelphia Toboggan Co.",Wood,Junior Out and Back,1938,NA,27,NA,900,25,NA,Philadelphia Toboggan Co.,25,NA,NA,NA
Rougarou,Cedar Point,Bolliger & Mabillard,Steel,Floorless Multielement,1996,NA,145,4,NA,57,52,Bolliger & Mabillard,137,NA,32,120
Round About,Freestyle Music Park,Premier Rides,Steel,Family,2008,NA,50,NA,NA,40.53,NA,NA,NA,NA,6,60
Rudicoaster,Santa's Land,Zamperla,Steel,Junior Powered,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,NA
Rudolph's Sleigh Ride,Santa's Village,Zamperla,Steel,Powered Family,1985,NA,NA,NA,NA,NA,NA,NA,NA,NA,24,NA
Rudy's Rapid Transit,Santa's Village,Zierer,Steel,"Junior, Tivoli",1988,NA,26,NA,NA,22,NA,Zierer,25,NA,40,NA
Runaway Mine Train,Six Flags Over Texas,Arrow Dynamics,Steel,Mine Train,1966,NA,35,NA,NA,26,NA,Arrow Dynamics,NA,NA,30,180
Runaway Mine Train,Six Flags Great Adventure,Arrow Dynamics,Steel,Mine Train,1974,NA,69,NA,NA,38,NA,Arrow Dynamics,NA,NA,30,180
Runaway Mine Train,Alton Towers,Mack GmbH,Steel,"Mine Train, Powered",1992,NA,NA,NA,NA,22,NA,Mack GmbH,NA,NA,46,NA
Runaway Mine Train,Flamingo Land Theme Park & Zoo,Zamperla,Steel,Junior,2007,NA,10,NA,280,NA,NA,NA,NA,NA,12,NA
Runaway Mine Train,Miner Mike's Adventure Town,Zamperla,Steel,"Family Powered, Indoor",1994,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,NA
Runaway Mountain,Six Flags Over Texas,Premier Rides,Steel,"Windstorm, Indoor Twister",1996,3.6,59,NA,NA,35,NA,NA,30,NA,12,NA
Runaway Ore Cart,Silver Dollar City,Ben Schiff,Steel,"Junior, Oval",NA,NA,7,NA,185,10,NA,Schiff,NA,NA,10,NA
Runaway Rail Car,Donley's Wild West Town,Allan Herschell,Steel,Junior Oval,2010,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,NA
Runaway Train,Gulliver's World Theme Park,Zamperla,Steel,Junior Wild Mouse,2006,NA,8,NA,NA,NA,NA,NA,NA,NA,16,60
Runaway Train,Fun Center Paiges Crossing,Wisdom Rides,Steel,Family,2007,NA,12,NA,NA,NA,NA,NA,20,NA,14,NA
Runaway Train,Gillian's Wonderland Pier,"L&T Systems, Stengel Engineering",Steel,Compact Twister,2006,NA,43,NA,945,31,NA,NA,NA,NA,NA,NA
Runaway Train,Fort Fun Amusement Park,Big Country Motioneering,Steel,Junior,NA,NA,15,NA,NA,NA,NA,NA,NA,NA,20,NA
Runaway Train,Botton's Pleasure Beach,Meridian,Steel,Junior,1991,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Runaway Train,Gulliver's Land,Zamperla,Steel,Junior,2004,NA,10,NA,280,NA,NA,NA,8,NA,12,NA
Runaway Train,Chessington World of Adventures,Mack GmbH,Steel,Powered Mine Train,1987,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rush Coaster,Seven Peaks Fun Center,Zamperla,Steel,Junior Powered,2008,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,NA
Rutschebanen,Bakken,Lebela,Wood,"Side Friction, Double Out and Back",1932,NA,72,NA,NA,47,NA,NA,NA,NA,22,120
Rutschebanen,Tivoli Gardens,LaMarcus A. Thompson,Wood,Side Friction,1914,NA,42,NA,NA,31,NA,NA,NA,NA,24,120
Sand Blaster,Boardwalk Amusements,Pinfari,Steel,Zyklon,2013,NA,53,NA,NA,NA,NA,NA,NA,NA,12,NA
Sand Serpent,Busch Gardens Tampa,Mack GmbH,Steel,Wild Mouse,1995,NA,46,NA,NA,28,NA,NA,NA,NA,4,60
Santa's Runaway Sleigh,YesterLand Farm,"Miler Coaster, Inc.",Steel,Junior Oval,2009,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA
Santa's Sleigh Coaster,Santa's Workshop,Molina & Sons,Steel,Junior Oval,2003,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA
Saw The Ride,Thorpe Park,Gerstlauer,Steel,Euro-Fighter,2009,NA,100,3,NA,NA,100,NA,NA,NA,NA,60
Scandia Screamer,Scandia Fun Center,"Miler Coaster, Inc.",Steel,Triple Out and Back,1995,NA,90,NA,NA,45,NA,NA,80,NA,12,60
Scenic Railway,Dreamland,Bristolborn Iles,Wood,Scenic Railway,1920,NA,NA,NA,NA,NA,NA,NA,NA,NA,28,NA
Schweizer Bobbahn,Europa Park,Mack,Steel,Bobsled,1985,3,62,NA,NA,31,NA,Mack,NA,NA,12,60
Schwur des Kärnan,Hansa-Park,Gerstlauer,Steel,Megacoaster,2015,NA,240,NA,NA,79,NA,NA,220,NA,NA,NA
Scooby's Ghoster Coaster,Kings Island,Caripro,Steel,Junior Suspended,1998,NA,40,NA,450,NA,NA,NA,NA,NA,2,2700
Scooby-Doo Spooky Coaster,Warner Bros. Movie World,Mack,Steel,Enclosed Wild Mouse,2002,NA,56,NA,NA,28,NA,NA,23,NA,4,240
Scorpion,Busch Gardens Tampa,Schwarzkopf,Steel,Looping Twister,1980,3.5,65,1,NA,50,NA,NA,60,NA,20,120
Scream!,Six Flags Magic Mountain,Bolliger & Mabillard,Steel,Floorless Multielement,2003,NA,150,7,NA,65,NA,Bolliger & Mabillard,150,NA,32,180
Screamin' Demon,Castle Park,Fabbri,Steel,Spinning,2008,2.5,35,NA,NA,NA,NA,NA,NA,NA,4,NA
Screamin' Eagle,Six Flags St. Louis,"John C. Allen, Philadelphia Toboggan Co.",Wood,Figure 8,1976,NA,110,NA,NA,62,NA,Philadelphia Tobogggan Co.,91,NA,24,120
Screaming Dragon,Thunder Road,Wisdom Rides,Steel,Junior Oval,2014,NA,11,NA,NA,NA,NA,NA,NA,NA,14,NA
Screaming Dragon,Como Town,Wisdom Rides,Steel,Family,2006,NA,11,NA,NA,NA,NA,NA,NA,NA,14,NA
Screaming Eagle,Fun Junction USA,"Miler Coaster, Inc.",Steel,Triple Out and Back,2007,NA,38,NA,900,35,NA,NA,NA,NA,6,NA
Screaming Mummy,Pharaoh's Adventure Park,SDC,Steel,Galaxi,2e3,NA,45,NA,NA,30,NA,SDC,32,NA,4,NA
Screechin' Eagle,LeSourdsville Lake Amusement Park,John A. Miller,Wood,Out and Back,1940,NA,70,NA,NA,40,NA,PTC/IAD,65,NA,18,60
Sea Dragon,Wyandot Lake,"John Allen, Philadelphia Toboggan Co.",Wood,Junior Figure 8,1956,NA,37,NA,NA,25,NA,Philadelphia Toboggan Co.,30,NA,16,60
Sea Dragon,Columbus Zoo and Aquarium,"John Allen, Philadelphia Toboggan Co.",Wood,Junior Figure 8,1956,NA,36,NA,NA,25,NA,Philadelphia Toboggan Co.,30,NA,16,60
Sea Serpent,Keansburg Amusement Park,"Miler Coaster, Inc.",Steel,Junior,1998,NA,13,NA,416,10,NA,NA,16,NA,12,2700
Sea Serpent,That Fun Place,"Miler Coaster, Inc.",Steel,"Junior, Oval",2008,NA,8,NA,180,8,NA,NA,7,NA,10,NA
Sea Serpent,Deno's Wonder Wheel Park,"Miler Coaster, Inc.",Steel,"Junior, Oval",1997,NA,13,NA,312,9,NA,Miler,12,NA,10,NA
Sea Serpent,Adventure Park USA,E&F Miler Industries,Steel,Junior Oval,2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA
Sea Serpent,Fun Spot America Orlando,E&F Miler Industries,Steel,Junior Oval,2013,NA,8,NA,220,8,NA,NA,8,NA,12,NA
Sea Serpent,Santa Cruz Beach Boardwalk,"Miler Coaster, Inc.",Steel,Junior Oval,2e3,NA,18,NA,350,10,NA,NA,13,NA,12,NA
Sea Serpent,Jolly Roger Amusement Park,E&F Miler Industries,Steel,Junior Oval,2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA
Sea Serpent,Playland's Castaway Cove,"Miler Coaster, Inc.",Steel,"Junior, Oval",1997,NA,10,NA,220,8,NA,Miler,9,NA,12,NA
Sea Serpent,Morey's Mariner's Landing,Vekoma International,Steel,"Boomerang, Multielement Shuttle",1984,5.2,117,3,935,48,NA,NA,NA,NA,28,60
Sequoia Adventure,Gardaland,S&S Power,Steel,Screaming Squirrel,2005,NA,98,3,NA,NA,NA,NA,NA,NA,NA,NA
Serial Thriller,Six Flags Astroworld,Vekoma,Steel,Suspended Looping,1999,NA,105,5,NA,50,NA,Vekoma International,86,NA,20,NA
Serpent,LeSourdsville Lake Amusement Park,SDC,Steel,Galaxi,1989,NA,45,NA,NA,30,NA,SDC,40,NA,8,NA
Serpent,Six Flags Astroworld,Arrow Dynamics,Steel,Mini Mine Train,1969,NA,20,NA,810,14,NA,NA,NA,NA,24,60
Serpent,Kokomo's Family Fun Center,SDC,Steel,Galaxi,2009,NA,45,NA,NA,30,NA,SDC,40,NA,8,60
Seven Dwarfs Mine Train,Disneyland Shanghai,"Walt Disney Imagineering, Vekoma",Steel,Mine Train,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,NA
Seven Dwarfs Mine Train,Disney's Magic Kingdom,"Vekoma, WDI",Steel,Mine Train,2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Shake Rattle 'n' Rollercoaster,Hard Rock Park,Vekoma,Steel,Junior,2008,NA,39.6,NA,794,20,NA,NA,NA,NA,16,60
Shambhala,PortAventura,Bolliger & Mabillard,Steel,Hypercoaster,2012,3.8,249,NA,NA,83,NA,NA,256,NA,32,180
Shamu Express,SeaWorld Orlando,Zierer,Steel,Family,2006,NA,30,NA,853,28,NA,NA,NA,NA,28,NA
Shamu Express,SeaWorld San Antonio,Zierer,Steel,Junior Oval,2004,NA,13,NA,230,15,NA,NA,NA,NA,12,NA
SheiKra,Busch Gardens Tampa,Bolliger & Mabillard,Steel,"Dive Coaster, Multielement",2005,NA,200,1,NA,70,90,Bolliger & Mabillard,195,NA,24,180
Shivering Timbers,Michigan's Adventure,"Custom Coasters, Inc.",Wood,Out and Back,1998,NA,122,NA,NA,57,53.3,Philadelphia Toboggan Co.,125,NA,28,120
Shock Wave,Brean Leisure Park,Pinfari,Steel,Looping,2004,NA,36,1,NA,NA,NA,NA,NA,NA,8,NA
Shockwave,Drayton Manor Park,Intamin AG,Steel,Stand-Up Multielement,1994,4,120,4,NA,53,NA,NA,NA,NA,24,60
Shockwave,Kings Dominion,Togo,Steel,"Stand-Up, Looping",1986,NA,95,1,NA,50,NA,NA,84,NA,24,120
Shockwave,Six Flags Over Texas,Anton Schwarzkopf,Steel,Looping,1978,5.9,116,2,NA,60,NA,NA,40,NA,28,120
Shockwave,Six Flags Great America,Arrow Dynamics,Steel,Multielement,1988,NA,170,7,NA,65,NA,Arrow Dynamics,155,NA,NA,120
Shuttle Loop,Nagashima Spa Land,Schwarzkopf,Steel,Shuttle Loop,1980,NA,138,2,863,57,70,NA,NA,Flywheel,28,2700
Sideshow Spin,Dollywood,L&T Systems,Steel,Junior,2005,NA,12,NA,197,14,NA,NA,NA,NA,14,NA
Sidewinder,Hersheypark,Vekoma International,Steel,"Boomerang, Multielement Shuttle",1991,5.2,116,6,875,48,NA,Vekoma,105,NA,28,60
Sidewinder,Elitch Gardens,Arrow Dynamics,Steel,Shuttle Loop,1980,4,56,2,502,45,NA,Arrow Dynamics,47,Catapult,24,60
Sierra Sidewinder,Knott's Berry Farm,Mack,Steel,Spinning Freeform,2007,3.3,66,NA,NA,37,NA,NA,39,NA,16,NA
Sierra Tonante,Mirabilandia,William Cobb,Wood,Double Out and Back,1992,4,115,NA,NA,62,NA,S.D.C.,113,NA,32,60
Silly Serpent,Luna Park Melbourne,Zamperla,Steel,Junior Powered,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,NA
Silver Bullet,Knott's Berry Farm,Bolliger & Mabillard,Steel,Inverted Multielement,2004,NA,146,6,NA,55,NA,NA,109,NA,32,120
Silver Bullet,Frontier City,Anton Schwarzkopf,Steel,Compact Looping,1986,NA,83,1,NA,48,NA,Anton Schwarzkopf,80,NA,28,NA
Silver Comet,Fantasy Island,"Custom Coasters, Inc.",Wood,Freeform,1999,NA,95,NA,NA,46,50,Philadelphia Toboggan Co.,82,NA,24,60
Silver Star,Europa Park,Bolliger & Mabillard,Steel,Hypercoaster,2002,4,239.5,NA,NA,79,68.5,Bolliger & Mabillard,220,NA,36,240
Silver Streak,Canada's Wonderland,Vekoma,Steel,Family Inverted,2001,2.2,52,NA,NA,25,NA,Vekoma,NA,NA,20,60
Skull Mountain,Six Flags Great Adventure,Intamin,Steel,Indoor Family Twister,1996,NA,41,NA,NA,33,NA,Intamin,37,NA,28,60
Sky Mountain,Mirabilandia Brazil,Vekoma,Steel,Multielement Inverted Shuttle,2011,4.5,191,6,NA,65,90,NA,177,NA,32,60
Sky Rocket,Kennywood,Premier Rides,Steel,Launched,2010,NA,95,3,2100,50,90,NA,NA,LSM,12,60
Sky Scream,Holiday Park,Premier Rides,Steel,Looping,2014,NA,150,1,863,62,90,NA,NA,NA,12,NA
Skyliner,Lakemont Park,"John Allen, Philadelphia Toboggan Co.",Wood,Double Out and Back,1960,NA,60,NA,NA,40,NA,Philadelphia Toboggan Co.,45,NA,18,NA
Skyrider,Canada's Wonderland,Togo,Steel,Stand-Up,1985,NA,92,1,NA,51,NA,Togo,84,NA,24,60
Skyrush,Hersheypark,Intamin AG,Steel,Hypercoaster,2012,NA,200,NA,NA,75,85,NA,NA,NA,32,NA
Skyways,Clarence Pier,SDC,Steel,Galaxi,1980,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SL Coaster,Yomiuriland,Togo,Steel,Mine Train,1978,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,NA
Slingshot,Camden Park,SBF Visa Group,Steel,Compact Figure-8,2016,NA,17,NA,NA,NA,NA,NA,NA,NA,16,NA
Slinky Dog Dash,Disney's Hollywood Studios,Mack Rides,Steel,Launched Family,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,NA
Slippery When Wet,Hard Rock Park,Premier Rides,Steel,Suspended,2008,NA,56,NA,NA,21.47,NA,NA,NA,NA,4,60
Smiler,Alton Towers,Gerstlauer,Steel,"Multielement, Infinity",2013,NA,NA,14,NA,53,NA,NA,98,NA,16,120
Snoopy's Great Race,Universal Studios Japan,"Senyo Kogyo Co., Ltd.",Steel,Junior Indoor,2001,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,NA
Soak'd,Freestyle Music Park,Premier Rides,Steel,Suspended,2008,NA,56,NA,NA,21.47,NA,NA,NA,NA,4,60
Soarin' Eagle,Luna Park,Zamperla,Steel,Flying,2011,3.3,56,2,NA,26,NA,NA,NA,NA,4,3e3
Son of Beast,Kings Island,"Werner Stengel, RCCA",Wood,Terrain,2e3,4.5,218,NA,NA,78.3,55.7,Gerstlauer,214,NA,20,120
Sonic Spinball,Alton Towers,Maurer Söhne,Steel,Spinning,2004,NA,56,NA,NA,NA,NA,NA,NA,NA,4,60
Sooper Jet,Trimper's Rides,Wisdom Rides,Steel,Junior,2010,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,NA
Sooperdooperlooper,Hersheypark,Anton Schwarzkopf,Steel,Looping Terrain,1977,NA,70,1,NA,45,NA,NA,NA,NA,24,60
Southern Express,OWA,Zamperla,Steel,Junior,2017,NA,13,NA,263,NA,NA,NA,NA,NA,12,NA
Space Invader 2,Pleasure Beach Blackpool,Zierer,Steel,"Four Man Bob, Indoor",1984,2,NA,NA,NA,37,36,NA,59,NA,NA,60
Space Mountain,Disneyland Park,Walt Disney Imagineering,Steel,Indoor Freeform,1977,NA,100,NA,NA,29,NA,Vekoma,15,NA,12,120
Space Mountain,Disney's Magic Kingdom,"WED Enterprises, Arrow Dynamics",Steel,"Dual-Track, Indoor Twister",1975,NA,90,NA,NA,28,NA,WED,35,NA,6,120
Space Mountain,Disneyland Park,"WDI, Dynamic Attractions",Steel,Indoor Freeform,2005,NA,100,NA,NA,30.2,NA,NA,15,NA,12,120
Space Mountain,Disneyland Hong Kong,Vekoma,Steel,Indoor Freeform,2005,NA,100,NA,NA,30.2,NA,NA,NA,NA,12,120
Space Mountain,Disneyland Tokyo,WED Walt Disney Imagineering,Steel,Indoor Freeform,1988,NA,100,NA,NA,30,NA,NA,15,NA,12,120
Space Mountain: Mission 2,Disneyland Paris,Vekoma,Steel,"Launched Multielement, Indoor",1995,NA,105,3,NA,44,NA,NA,NA,NA,24,120
Space Salamander,Expoland,Arrow Dynamics,Steel,Loop Corkscrew,1980,NA,76,3,NA,43.5,NA,NA,68,NA,24,60
Spacely's Sprocket Rockets,Six Flags Great America,Vekoma,Steel,Junior Twister,1998,NA,28,NA,679,25,NA,Vekoma,20,NA,16,NA
Speed Monster,TusenFryd,Intamin AG,Steel,Launched Multielement,2006,4,131,3,NA,55.9,NA,NA,NA,Hydraulic,12,60
Speed The Ride,NASCAR Cafe,Premier Rides,Steel,Launched Shuttle,2e3,3.5,224,2,NA,70,90,NA,224,LIM,24,2700
Speed: No Limits,Oakwood Theme Park,Gerstlauer,Steel,Euro-Fighter,2006,NA,115,2,NA,59,97,NA,NA,NA,NA,NA
Speedway Draft,NASCAR SpeedPark,Zierer,Steel,Family,2004,NA,15,NA,420,19,NA,NA,11,NA,12,NA
Speedy,Leisure Ranch,D.P.V. Rides,Steel,Junior,2005,NA,14,NA,NA,NA,NA,NA,NA,NA,20,NA
Speedy Bob,Bobbejaanland,Mack,Steel,Wild Mouse,1998,NA,46,NA,NA,28,NA,NA,NA,NA,4,60
Speedy Bob (Mirror),Bobbejaanland,Mack,Steel,Wild Mouse,1998,NA,46,NA,NA,28,NA,NA,NA,NA,4,60
Speedy Gonzales,Cavallino Matto,L&T Systems,Steel,Junior,2003,NA,20,NA,443,21,NA,NA,NA,NA,16,NA
Speedy Gonzales,Family Kingdom Amusement Park,Sartori,Steel,Family Figure 8,1980,NA,16,NA,444,NA,NA,NA,NA,NA,24,NA
Speedy Gonzales,Clacton Pier,Pinfari,Steel,Junior,NA,NA,15,NA,NA,NA,NA,NA,NA,NA,24,NA
Speedy Gonzales Hot Rod Racers,Six Flags Magic Mountain,Zamperla,Steel,Junior Oval,2014,NA,13,NA,263,NA,NA,NA,NA,NA,12,NA
Spellbreaker,LEGOLAND California,Caripro,Steel,Dual Suspended,2e3,NA,42,NA,575,24,NA,NA,NA,NA,2,NA
Spin Turn,Nasu Highland Park,Meisho Amusement Machines,Steel,Spinning,2004,NA,70,NA,NA,29,NA,NA,NA,NA,20,120
Spinning Coaster,Tokyo Dome City (LaQua),Maurer Söhne,Steel,Spinning Wild Mouse,2e3,NA,36,NA,984,22,37,NA,NA,NA,NA,60
Spinning Coaster,Trimper's Rides,SBF Visa Group,Steel,Compact Figure-8,2015,NA,17,NA,NA,NA,NA,NA,NA,NA,16,NA
Spinning Coaster,Western Playland,SBF Visa Group,Steel,Compact Figure-8,2014,NA,17,NA,NA,NA,NA,NA,NA,NA,16,NA
Spinning Dragons,Worlds of Fun,Gerstlauer,Steel,Spinning,2004,NA,54,NA,NA,35,50,NA,NA,NA,4,60
Spinning Lady Bug,Edaville USA,SBF Visa Group,Steel,Compact Figure-8,2015,NA,17,NA,NA,NA,NA,NA,NA,NA,16,NA
Sponge Bob SquarePants Rock Bottom Plunge,Nickelodeon Universe,Gerstlauer,Steel,Euro-Fighter,2008,NA,67,2,NA,NA,97,NA,NA,NA,NA,120
Stampbanan,Liseberg,Preston & Barbieri,Steel,Family Oval,2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,NA
Stampida,PortAventura,"Custom Coasters, Inc.",Wood,"Racing, Dual-Track",1997,NA,84,NA,NA,46,NA,Philadelphia Toboggan Co.,88,NA,28,NA
Star Jet,Casino Pier,"Miler Coaster, Inc.",Steel,Triple Out and Back,2002,NA,52,NA,NA,40,NA,"Miler Coaster, Inc.",45,NA,6,60
Starliner,Cypress Gardens,John Allen,Wood,Out and Back,2007,NA,70,NA,NA,55,NA,Philadelphia Toboggan Co.,65,NA,18,NA
Starliner,Miracle Strip Amusement Park,"John Allen, Philadelphia Toboggan Co.",Wood,Out and Back,1963,NA,70,NA,NA,55,NA,Philadelphia Toboggan Co.,65,NA,NA,NA
Stealth,Thorpe Park,Intamin AG,Steel,Launched Out and Back,2006,4.5,205,NA,NA,79.5,90,NA,199,Hydraulic,20,1680
Steamin' Demon,The Great Escape & Splashwater Kingdom,Arrow Dynamics,Steel,"Loop Corkscrew, Out and Back",1978,NA,85,3,NA,40,45,Arrow Dynamics,65,NA,28,60
Steel Curtain,Kennywood,S&S Sansei,Steel,Multielement Looping,2019,NA,220,9,NA,75,NA,NA,NA,NA,24,NA
Steel Dragon,Waldameer Park,Maurer Söhne,Steel,Spinning Twister,2004,NA,51,NA,NA,37,50,NA,NA,NA,4,60
Steel Dragon 2000,Nagashima Spa Land,Morgan Manufacturing,Steel,Hypercoaster,2e3,NA,318,NA,NA,95,NA,NA,310,NA,36,NA
Steel Eel,SeaWorld San Antonio,Morgan Manufacturing,Steel,Hypercoaster,1999,3.5,144,NA,NA,65,60,NA,150,NA,36,120
Steel First,Dorney Park & Wildwater Kingdom,Allan Herschell,Steel,"Junior, Oval",1987,NA,15,NA,170,NA,NA,NA,12,NA,12,NA
Steel Force,Dorney Park & Wildwater Kingdom,Morgan Manufacturing,Steel,Hypercoaster,1997,NA,200,NA,NA,75,NA,Morgan Manufacturing,205,NA,36,180
Steel Hawg,Indiana Beach,S&S Power,Steel,Multielement,2008,NA,96,2,NA,41,120,NA,NA,NA,4,60
Steel Lasso,Frontier City,Vekoma,Steel,Family Inverted,2008,NA,49,NA,965,30,NA,NA,NA,NA,16,NA
Steel Phantom,Kennywood,Arrow Dynamics,Steel,Multielement Terrain,1991,NA,160,4,NA,82,NA,NA,225,NA,28,120
Steel Vengeance,Cedar Point,Rocky Mountain Construction,Steel,Multielement Hybrid Twister,2018,NA,205,4,NA,74,90,NA,200,NA,24,120
Steel Venom,Geauga Lake's Wildwater Kingdom,Intamin AG,Steel,"Impulse, Inverted Shuttle",2e3,NA,181,NA,640,70,90,NA,181,LIM,28,NA
Steel Venom,Valleyfair,Intamin AG,Steel,"Suspended Impulse, Shuttle",2003,NA,175,NA,630,70,90,Intamin AG,185,LIM,28,NA
Steeplechase,Luna Park,Zamperla,Steel,Motocoaster,2011,NA,65,NA,1194,40,NA,NA,NA,Flywheel,12,NA
Steeplechase,Pleasure Beach Blackpool,Arrow Dynamics,Steel,Triple Racer,1977,NA,40,NA,NA,30,NA,Arrow Dyanmics,NA,NA,2,60
Stinger,Paultons Park,Zierer,Steel,Family,2e3,NA,20,NA,653,20,NA,NA,NA,NA,26,NA
Stinger,Dorney Park & Wildwater Kingdom,Vekoma,Steel,"Invertigo, Multielement Shuttle",2012,5,161,6,985,50,NA,NA,138,NA,28,60
Storm Chaser,Kentucky Kingdom,"Rocky Mountain Construction, Alan Schilke",Steel,Multielement Hybrid Out & Back,2016,3.8,100,3,NA,52,78,Rocky Mountain Construction,NA,NA,24,NA
Storm Coaster,Sea World Australia,Mack GmbH,Steel,Water Coaster,2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Storm Runner,Hersheypark,Intamin AG,Steel,Launched Multielement,2004,NA,150,3,NA,75,90,Intamin AG,180,Hydraulic,20,60
Stunt Fall,Parque Warner Madrid,Vekoma,Steel,Multielement Inverted Shuttle,2002,4.5,192,6,NA,65,90,NA,177,NA,32,60
Super Coaster,Barnstable County Fair,Pinfari,Steel,Zyklon,2006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Super Coaster,Magic Golf & Biloxi Beach Amusement Park,"Miler Coaster, Inc.",Steel,"Junior, Oval",NA,NA,7,NA,185,10,NA,NA,NA,NA,10,NA
Super Cyclone,Santa's Village Azoosment Park,Interpark,Steel,Zyklon,2017,NA,33,NA,NA,30,NA,NA,NA,NA,8,60
Super Dragon,Drayton Manor Park,Pinfari,Steel,Junior,1984,NA,15,NA,NA,NA,NA,NA,NA,NA,NA,NA
Super Flight,Playland,Zamperla,Steel,"Flying, Volare",2004,3.3,50,2,NA,26,NA,Zamperla,NA,NA,4,2880
Super Jet,Calaway Park,Wisdom Rides,Steel,Junior Powered,1981,NA,6,NA,100,NA,NA,NA,NA,NA,16,NA
Super Manege,La Ronde,Vekoma International,Steel,Corkscrew,1981,NA,75,2,NA,40,NA,Arrow Dynamics,68,NA,24,NA
Super Splash,TusenFryd,Mack,Steel,Water Coaster,2003,NA,76,NA,NA,NA,NA,NA,62,NA,NA,NA
Super Tornado,Mirabilandia Brazil,Vekoma,Steel,Corkscrew,2008,NA,64,2,NA,37,NA,NA,NA,NA,28,NA
Super Wirbel,Holiday Park,Vekoma,Steel,Corkscrew,1979,NA,75,2,NA,40,NA,Vekoma,68,NA,24,60
Super8 Bahn,Wiener Prater,Pinfari,Steel,Figure 8,1997,NA,69,NA,NA,NA,NA,NA,NA,NA,8,60
Superman,Parque Warner Madrid,Bolliger & Mabillard,Steel,Floorless Multielement,2002,NA,164,7,NA,62,NA,NA,NA,NA,32,60
Superman El Último Escape,Six Flags Mexico,Morgan Manufacturing,Steel,Hypercoaster,2004,NA,220,NA,NA,75,60,Morgan Manufacturing,205,NA,36,180
Superman Escape,Warner Bros. Movie World,Intamin AG,Steel,Launched,2005,4.2,131,NA,NA,62.1,90,Intamin AG,131,Hydraulic,20,60
